geography,id,HH_control,HHSize1_control,HHSize2_control,HHSize3_control,HHSize4p_control,Income1_control,Income2_control,Income3_control,Income4_control,HHWrk0_control,HHWrk1_control,HHWrk2_control,HHWrk3p_control,Tot_Pop_control,HH_result,HHSize1_result,HHSize2_result,HHSize3_result,HHSize4p_result,Income1_result,Income2_result,Income3_result,Income4_result,HHWrk0_result,HHWrk1_result,HHWrk2_result,HHWrk3p_result,Tot_Pop_result,HH_diff,HHSize1_diff,HHSize2_diff,HHSize3_diff,HHSize4p_diff,Income1_diff,Income2_diff,Income3_diff,Income4_diff,HHWrk0_diff,HHWrk1_diff,HHWrk2_diff,HHWrk3p_diff,Tot_Pop_diff
PUMA,2500100,60052.0,23197.0,22478.0,7737.0,6640.0,24479.0,19632.0,10555.0,5386.0,23393.0,19467.0,14436.0,2756.0,124008.0,60052,23207,22474,7736,6635,24467,19636,10561,5388,23396,19466,14434,2756,124013,0.0,10.0,-4.0,-1.0,-5.0,-12.0,4.0,6.0,2.0,3.0,-1.0,-2.0,0.0,5.0
PUMA,2500200,52841.0,18611.0,20992.0,6881.0,6357.0,19651.0,16342.0,9716.0,7132.0,18940.0,16379.0,14728.0,2794.0,109416.0,52841,18601,20991,6887,6362,19631,16345,9722,7143,18941,16380,14724,2796,109418,0.0,-10.0,-1.0,6.0,5.0,-20.0,3.0,6.0,11.0,1.0,1.0,-4.0,2.0,2.0
PUMA,2500300,79304.0,28889.0,24466.0,11696.0,14253.0,35844.0,24843.0,11791.0,6826.0,28778.0,27589.0,18374.0,4563.0,183707.0,79304,28890,24470,11695,14249,35821,24851,11802,6830,28778,27582,18377,4567,183726,0.0,1.0,4.0,-1.0,-4.0,-23.0,8.0,11.0,4.0,0.0,-7.0,3.0,4.0,19.0
PUMA,2500301,54179.0,18532.0,21457.0,7408.0,6782.0,22426.0,16645.0,10121.0,4987.0,20589.0,17751.0,13136.0,2703.0,117851.0,54179,18542,21457,7405,6775,22403,16647,10129,5000,20598,17754,13132,2695,117846,0.0,10.0,0.0,-3.0,-7.0,-23.0,2.0,8.0,13.0,9.0,3.0,-4.0,-8.0,-5.0
PUMA,2500302,58179.0,18723.0,20832.0,8209.0,10415.0,15939.0,18708.0,14033.0,9499.0,17521.0,17658.0,18497.0,4503.0,131152.0,58179,18725,20826,8209,10419,15908,18702,14052,9517,17519,17658,18498,4504,131190,0.0,2.0,-6.0,0.0,4.0,-31.0,-6.0,19.0,18.0,-2.0,0.0,1.0,1.0,38.0
PUMA,2500303,58605.0,17637.0,21993.0,8550.0,10425.0,13315.0,16080.0,13356.0,15854.0,15151.0,20030.0,19383.0,4041.0,136345.0,58605,17644,21991,8548,10422,13288,16064,13356,15897,15153,20027,19385,4040,136365,0.0,7.0,-2.0,-2.0,-3.0,-27.0,-16.0,0.0,43.0,2.0,-3.0,2.0,-1.0,20.0
PUMA,2500304,78483.0,22828.0,31817.0,11107.0,12731.0,22477.0,24575.0,19011.0,12420.0,21585.0,26594.0,24206.0,6098.0,178511.0,78483,22826,31819,11103,12735,22436,24564,19025,12458,21585,26597,24202,6099,178495,0.0,-2.0,2.0,-4.0,4.0,-41.0,-11.0,14.0,38.0,0.0,3.0,-4.0,1.0,-16.0
PUMA,2500400,48731.0,15037.0,19198.0,6974.0,7522.0,12380.0,14482.0,11591.0,10278.0,12883.0,16180.0,16792.0,2876.0,109183.0,48731,15036,19202,6972,7521,12357,14469,11599,10306,12884,16181,16789,2877,109162,0.0,-1.0,4.0,-2.0,-1.0,-23.0,-13.0,8.0,28.0,1.0,1.0,-3.0,1.0,-21.0
PUMA,2500501,51150.0,14314.0,20275.0,7785.0,8776.0,11306.0,12497.0,12341.0,15006.0,13741.0,15717.0,18049.0,3643.0,117677.0,51150,14316,20273,7782,8779,11267,12489,12344,15050,13743,15715,18049,3643,117696,0.0,2.0,-2.0,-3.0,3.0,-39.0,-8.0,3.0,44.0,2.0,-2.0,0.0,0.0,19.0
PUMA,2500502,42867.0,14200.0,14604.0,6518.0,7545.0,19009.0,12943.0,7344.0,3571.0,15847.0,13475.0,10725.0,2820.0,102964.0,42867,14200,14604,6521,7542,18997,12941,7352,3577,15846,13477,10724,2820,102969,0.0,0.0,0.0,3.0,-3.0,-12.0,-2.0,8.0,6.0,-1.0,2.0,-1.0,0.0,5.0
PUMA,2500503,63893.0,19706.0,22484.0,10363.0,11340.0,15625.0,15597.0,14458.0,18213.0,15007.0,23073.0,21929.0,3884.0,143057.0,63893,19716,22482,10366,11329,15577,15580,14467,18269,15012,23068,21927,3886,143114,0.0,10.0,-2.0,3.0,-11.0,-48.0,-17.0,9.0,56.0,5.0,-5.0,-2.0,2.0,57.0
PUMA,2500504,69151.0,22918.0,23180.0,11348.0,11705.0,20185.0,17567.0,14282.0,17117.0,15869.0,24628.0,22959.0,5695.0,161626.0,69151,22908,23181,11347,11715,20129,17560,14293,17169,15870,24627,22958,5696,161638,0.0,-10.0,1.0,-1.0,10.0,-56.0,-7.0,11.0,52.0,1.0,-1.0,-1.0,1.0,12.0
PUMA,2500505,63011.0,19762.0,22556.0,10726.0,9967.0,13332.0,15281.0,16962.0,17436.0,14103.0,22656.0,22580.0,3672.0,139103.0,63011,19768,22562,10725,9956,13306,15252,16958,17495,14106,22655,22577,3673,139119,0.0,6.0,6.0,-1.0,-11.0,-26.0,-29.0,-4.0,59.0,3.0,-1.0,-3.0,1.0,16.0
PUMA,2500506,60666.0,19593.0,27520.0,8036.0,5517.0,11576.0,15053.0,12476.0,21561.0,12058.0,23736.0,20967.0,3905.0,124054.0,60666,19584,27519,8045,5518,11553,15028,12475,21610,12063,23738,20959,3906,124037,0.0,-9.0,-1.0,9.0,1.0,-23.0,-25.0,-1.0,49.0,5.0,2.0,-8.0,1.0,-17.0
PUMA,2500507,64816.0,19825.0,27622.0,8847.0,8522.0,16688.0,22188.0,17199.0,8741.0,13392.0,22171.0,22948.0,6305.0,140206.0,64816,19826,27624,8848,8518,16660,22154,17215,8787,13391,22182,22941,6302,140186,0.0,1.0,2.0,1.0,-4.0,-28.0,-34.0,16.0,46.0,-1.0,11.0,-7.0,-3.0,-20.0
PUMA,2500508,59149.0,19360.0,22274.0,9016.0,8499.0,17825.0,16828.0,16172.0,8324.0,14962.0,20992.0,18819.0,4376.0,141391.0,59149,19364,22274,9013,8498,17795,16823,16180,8351,14966,20993,18815,4375,141411,0.0,4.0,0.0,-3.0,-1.0,-30.0,-5.0,8.0,27.0,4.0,1.0,-4.0,-1.0,20.0
PUMA,2500701,87531.0,26894.0,30911.0,13787.0,15939.0,34404.0,25864.0,17324.0,9939.0,29159.0,27876.0,23585.0,6911.0,215098.0,87531,26891,30916,13786,15938,34362,25863,17355,9951,29160,27876,23585,6910,215079,0.0,-3.0,5.0,-1.0,-1.0,-42.0,-1.0,31.0,12.0,1.0,0.0,0.0,-1.0,-19.0
PUMA,2500702,48394.0,14472.0,16209.0,7632.0,10081.0,10069.0,11925.0,11451.0,14949.0,11934.0,15839.0,17087.0,3534.0,112514.0,48394,14472,16208,7635,10079,10047,11911,11449,14987,11934,15841,17086,3533,112527,0.0,0.0,-1.0,3.0,-2.0,-22.0,-14.0,-2.0,38.0,0.0,2.0,-1.0,-1.0,13.0
PUMA,2500703,100702.0,39001.0,32630.0,14516.0,14555.0,35089.0,25211.0,20783.0,19619.0,30372.0,35403.0,29029.0,5898.0,220581.0,100702,38989,32635,14530,14548,35018,25210,20793,19681,30385,35402,29020,5895,220559,0.0,-12.0,5.0,14.0,-7.0,-71.0,-1.0,10.0,62.0,13.0,-1.0,-9.0,-3.0,-22.0
PUMA,2500704,50740.0,18930.0,15110.0,7598.0,9102.0,21748.0,13571.0,9549.0,5872.0,16643.0,16341.0,13799.0,3957.0,117099.0,50740,18929,15111,7598,9102,21710,13574,9568,5888,16650,16344,13793,3953,117100,0.0,-1.0,1.0,0.0,0.0,-38.0,3.0,19.0,16.0,7.0,3.0,-6.0,-4.0,1.0
PUMA,2501000,62359.0,19388.0,21025.0,10237.0,11709.0,16360.0,15705.0,16434.0,13860.0,15911.0,20769.0,19920.0,5759.0,149457.0,62359,19386,21025,10240,11708,16315,15688,16443,13913,15914,20770,19916,5759,149474,0.0,-2.0,0.0,3.0,-1.0,-45.0,-17.0,9.0,53.0,3.0,1.0,-4.0,0.0,17.0
PUMA,2501300,53040.0,14535.0,19913.0,8413.0,10179.0,10060.0,13421.0,14564.0,14995.0,12478.0,17573.0,18261.0,4728.0,128141.0,53040,14538,19921,8414,10167,10035,13398,14562,15045,12479,17567,18263,4731,128141,0.0,3.0,8.0,1.0,-12.0,-25.0,-23.0,-2.0,50.0,1.0,-6.0,2.0,3.0,0.0
PUMA,2501400,54663.0,15197.0,17857.0,9390.0,12219.0,12315.0,10958.0,10914.0,20476.0,12562.0,19349.0,19016.0,3736.0,130734.0,54663,15195,17862,9395,12211,12277,10949,10908,20529,12561,19349,19017,3736,130756,0.0,-2.0,5.0,5.0,-8.0,-38.0,-9.0,-6.0,53.0,-1.0,0.0,1.0,0.0,22.0
PUMA,2501600,68423.0,22557.0,26342.0,9379.0,10145.0,22156.0,21745.0,15078.0,9444.0,20413.0,22843.0,20111.0,5056.0,146189.0,68423,22561,26344,9375,10143,22130,21740,15083,9470,20414,22838,20115,5056,146214,0.0,4.0,2.0,-4.0,-2.0,-26.0,-5.0,5.0,26.0,1.0,-5.0,4.0,0.0,25.0
PUMA,2501900,64999.0,20828.0,25733.0,9031.0,9407.0,34992.0,18564.0,8438.0,3005.0,27932.0,20465.0,12474.0,4128.0,159116.0,64999,20829,25731,9036,9403,34979,18577,8437,3006,27933,20465,12474,4127,159117,0.0,1.0,-2.0,5.0,-4.0,-13.0,13.0,-1.0,1.0,1.0,0.0,0.0,-1.0,1.0
PUMA,2501901,67689.0,24802.0,20859.0,9839.0,12189.0,26809.0,19809.0,13258.0,7813.0,22733.0,22013.0,18102.0,4841.0,149304.0,67689,24814,20859,9838,12178,26779,19808,13270,7832,22736,22016,18096,4841,149316,0.0,12.0,0.0,-1.0,-11.0,-30.0,-1.0,12.0,19.0,3.0,3.0,-6.0,0.0,12.0
PUMA,2501902,58565.0,19382.0,20829.0,8600.0,9754.0,18931.0,17960.0,12366.0,9308.0,19779.0,17142.0,16616.0,5028.0,129672.0,58565,19396,20829,8598,9742,18889,17965,12378,9333,19774,17141,16621,5029,129660,0.0,14.0,0.0,-2.0,-12.0,-42.0,5.0,12.0,25.0,-5.0,-1.0,5.0,1.0,-12.0
PUMA,2502400,53794.0,15250.0,16896.0,9445.0,12203.0,13068.0,12897.0,11534.0,16295.0,11415.0,18753.0,19610.0,4016.0,128508.0,53794,15254,16898,9451,12191,13032,12888,11538,16336,11416,18751,19611,4016,128540,0.0,4.0,2.0,6.0,-12.0,-36.0,-9.0,4.0,41.0,1.0,-2.0,1.0,0.0,32.0
PUMA,2502800,70355.0,24481.0,23595.0,11101.0,11178.0,20598.0,18053.0,19141.0,12563.0,19126.0,24461.0,21323.0,5445.0,157747.0,70355,24479,23597,11094,11185,20536,18042,19154,12623,19127,24463,21319,5446,157760,0.0,-2.0,2.0,-7.0,7.0,-62.0,-11.0,13.0,60.0,1.0,2.0,-4.0,1.0,13.0
PUMA,2503301,64180.0,25202.0,28356.0,5693.0,4929.0,26661.0,17870.0,10536.0,9113.0,21552.0,22355.0,16190.0,4083.0,122516.0,64180,25190,28361,5699,4930,26638,17863,10538,9141,21554,22356,16182,4088,122524,0.0,-12.0,5.0,6.0,1.0,-23.0,-7.0,2.0,28.0,2.0,1.0,-8.0,5.0,8.0
PUMA,2503302,108271.0,42516.0,44204.0,11883.0,9668.0,31589.0,23106.0,15883.0,37693.0,28699.0,37684.0,36053.0,5835.0,211325.0,108271,42511,44199,11887,9674,31541,23079,15887,37764,28692,37695,36048,5836,211359,0.0,-5.0,-5.0,4.0,6.0,-48.0,-27.0,4.0,71.0,-7.0,11.0,-5.0,1.0,34.0
PUMA,2503303,67878.0,22999.0,26368.0,9884.0,8627.0,20768.0,21882.0,13388.0,11840.0,17089.0,25360.0,20581.0,4848.0,154947.0,67878,23003,26369,9889,8617,20739,21852,13391,11896,17095,25368,20574,4841,154923,0.0,4.0,1.0,5.0,-10.0,-29.0,-30.0,3.0,56.0,6.0,8.0,-7.0,-7.0,-24.0
PUMA,2503304,60619.0,20624.0,20023.0,10442.0,9530.0,27176.0,18057.0,9200.0,6186.0,20384.0,21357.0,13866.0,5012.0,144280.0,60619,20616,20023,10447,9533,27159,18059,9208,6193,20383,21362,13864,5010,144293,0.0,-8.0,0.0,5.0,3.0,-17.0,2.0,8.0,7.0,-1.0,5.0,-2.0,-2.0,13.0
PUMA,2503305,67402.0,21813.0,24945.0,10789.0,9855.0,18118.0,19640.0,15990.0,13654.0,15558.0,23265.0,23533.0,5046.0,145101.0,67402,21841,24953,10777,9831,18084,19611,16000,13707,15563,23265,23526,5048,145188,0.0,28.0,8.0,-12.0,-24.0,-34.0,-29.0,10.0,53.0,5.0,0.0,-7.0,2.0,87.0
PUMA,2503306,48864.0,15351.0,17339.0,7476.0,8698.0,15615.0,16556.0,10562.0,6131.0,13162.0,17479.0,13792.0,4431.0,108535.0,48864,15365,17342,7475,8682,15591,16549,10572,6152,13168,17480,13788,4428,108589,0.0,14.0,3.0,-1.0,-16.0,-24.0,-7.0,10.0,21.0,6.0,1.0,-4.0,-3.0,54.0
PUMA,2503400,69633.0,20218.0,25758.0,11919.0,11738.0,16115.0,13462.0,12153.0,27903.0,15586.0,23801.0,25926.0,4320.0,155183.0,69633,20267,25767,11910,11689,16071,13450,12155,27957,15588,23802,25922,4321,155328,0.0,49.0,9.0,-9.0,-49.0,-44.0,-12.0,2.0,54.0,2.0,1.0,-4.0,1.0,145.0
PUMA,2503500,44886.0,10412.0,14424.0,8597.0,11453.0,7478.0,10001.0,9907.0,17500.0,12768.0,15340.0,13434.0,3344.0,112446.0,44886,10419,14426,8599,11442,7453,9979,9909,17545,12769,15333,13439,3345,112491,0.0,7.0,2.0,2.0,-11.0,-25.0,-22.0,2.0,45.0,1.0,-7.0,5.0,1.0,45.0
PUMA,2503601,56876.0,15175.0,18715.0,10345.0,12641.0,12339.0,14389.0,15160.0,14988.0,13251.0,19230.0,19657.0,4738.0,135450.0,56876,15194,18721,10347,12614,12293,14375,15160,15048,13251,19232,19656,4737,135539,0.0,19.0,6.0,2.0,-27.0,-46.0,-14.0,0.0,60.0,0.0,2.0,-1.0,-1.0,89.0
PUMA,2503602,55903.0,18133.0,19066.0,8936.0,9768.0,15830.0,14717.0,15151.0,10205.0,15027.0,19492.0,17128.0,4256.0,129274.0,55903,18132,19061,8939,9771,15797,14698,15155,10253,15027,19494,17125,4257,129262,0.0,-1.0,-5.0,3.0,3.0,-33.0,-19.0,4.0,48.0,0.0,2.0,-3.0,1.0,-12.0
PUMA,2503603,65172.0,25109.0,22156.0,8703.0,9204.0,20819.0,17355.0,16749.0,10249.0,18748.0,23612.0,18551.0,4261.0,137334.0,65172,25103,22153,8709,9207,20787,17336,16757,10292,18754,23606,18544,4268,137343,0.0,-6.0,-3.0,6.0,3.0,-32.0,-19.0,8.0,43.0,6.0,-6.0,-7.0,7.0,9.0
PUMA,2503900,66172.0,22282.0,22468.0,9851.0,11571.0,17940.0,18110.0,16105.0,14017.0,16657.0,24761.0,20663.0,4091.0,157050.0,66172,22274,22470,9851,11577,17888,18090,16114,14080,16659,24762,20660,4091,157056,0.0,-8.0,2.0,0.0,6.0,-52.0,-20.0,9.0,63.0,2.0,1.0,-3.0,0.0,6.0
PUMA,2504000,49892.0,13768.0,18842.0,7331.0,9951.0,18228.0,15669.0,10289.0,5706.0,15358.0,15451.0,13585.0,5498.0,127589.0,49892,13772,18845,7333,9942,18207,15664,10302,5719,15359,15454,13581,5498,127571,0.0,4.0,3.0,2.0,-9.0,-21.0,-5.0,13.0,13.0,1.0,3.0,-4.0,0.0,-18.0
PUMA,2504200,56659.0,14780.0,22518.0,9807.0,9554.0,14380.0,17826.0,13670.0,10783.0,12616.0,19083.0,20483.0,4477.0,129530.0,56659,14789,22518,9806,9546,14351,17805,13684,10819,12622,19081,20478,4478,129579,0.0,9.0,0.0,-1.0,-8.0,-29.0,-21.0,14.0,36.0,6.0,-2.0,-5.0,1.0,49.0
PUMA,2504301,48951.0,15372.0,19515.0,7473.0,6591.0,13581.0,14254.0,12580.0,8536.0,14048.0,14854.0,16416.0,3633.0,112098.0,48951,15374,19515,7469,6593,13551,14246,12589,8565,14053,14859,16407,3632,112105,0.0,2.0,0.0,-4.0,2.0,-30.0,-8.0,9.0,29.0,5.0,5.0,-9.0,-1.0,7.0
PUMA,2504302,46149.0,16223.0,17765.0,7057.0,5104.0,24427.0,11876.0,7031.0,2815.0,20665.0,14038.0,9469.0,1977.0,98148.0,46149,16229,17763,7058,5099,24413,11886,7036,2814,20668,14037,9468,1976,98141,0.0,6.0,-2.0,1.0,-5.0,-14.0,10.0,5.0,-1.0,3.0,-1.0,-1.0,-1.0,-7.0
PUMA,2504303,54746.0,14738.0,21226.0,9378.0,9404.0,15321.0,15616.0,14070.0,9739.0,12775.0,19043.0,18910.0,4018.0,129140.0,54746,14746,21223,9379,9398,15294,15601,14076,9775,12774,19051,18904,4017,129156,0.0,8.0,-3.0,1.0,-6.0,-27.0,-15.0,6.0,36.0,-1.0,8.0,-6.0,-1.0,16.0
