process,pid,rss,full_rss,uss,event,children,time
MainProcess,21092,100_376_576,100_376_576,69_812_224,pipeline.run before preload_injectables,0,2022/05/31 17:58:34.631114
MainProcess,21092,100_708_352,100_708_352,69_812_224,pipeline.run after preload_injectables,0,2022/05/31 17:58:34.649355
MainProcess,21092,100_732_928,100_732_928,69_816_320,pipeline.run_model input_pre_processor start,0,2022/05/31 17:58:34.663309
MainProcess,21092,146_710_528,146_710_528,116_404_224,pipeline.run_model input_pre_processor finished,0,2022/05/31 17:58:35.080471
MainProcess,21092,161_050_624,161_050_624,130_326_528,pipeline.run after input_pre_processor,0,2022/05/31 17:58:35.479420
MainProcess,21092,161_693_696,161_693_696,130_342_912,pipeline.run_model setup_data_structures start,0,2022/05/31 17:58:35.501122
MainProcess,21092,163_827_712,163_827_712,132_984_832,pipeline.run_model setup_data_structures finished,0,2022/05/31 17:58:35.863231
MainProcess,21092,164_478_976,164_478_976,133_390_336,pipeline.run after setup_data_structures,0,2022/05/31 17:58:36.147995
MainProcess,21092,165_265_408,165_265_408,133_390_336,pipeline.run_model initial_seed_balancing start,0,2022/05/31 17:58:36.163301
MainProcess,21092,165_568_512,165_568_512,134_664_192,pipeline.run_model initial_seed_balancing finished,0,2022/05/31 17:59:00.171544
MainProcess,21092,167_006_208,167_006_208,135_163_904,pipeline.run after initial_seed_balancing,0,2022/05/31 17:59:00.231633
MainProcess,21092,167_079_936,167_079_936,135_163_904,pipeline.run_model meta_control_factoring start,0,2022/05/31 17:59:00.253365
MainProcess,21092,167_329_792,167_329_792,135_413_760,pipeline.run_model meta_control_factoring finished,0,2022/05/31 17:59:00.293846
MainProcess,21092,167_329_792,167_329_792,135_413_760,pipeline.run after meta_control_factoring,0,2022/05/31 17:59:00.319186
MainProcess,21092,167_329_792,167_329_792,135_413_760,pipeline.run_model final_seed_balancing start,0,2022/05/31 17:59:00.335902
MainProcess,21092,167_538_688,167_538_688,135_622_656,pipeline.run_model final_seed_balancing finished,0,2022/05/31 17:59:00.352722
MainProcess,21092,167_788_544,167_788_544,135_905_280,pipeline.run after final_seed_balancing,0,2022/05/31 17:59:00.388539
MainProcess,21092,167_821_312,167_821_312,135_905_280,pipeline.run_model integerize_final_seed_weights start,0,2022/05/31 17:59:00.414593
MainProcess,21092,170_917_888,170_917_888,137_166_848,pipeline.run_model integerize_final_seed_weights finished,0,2022/05/31 17:59:01.287629
MainProcess,21092,170_872_832,170_872_832,136_384_512,pipeline.run after integerize_final_seed_weights,0,2022/05/31 17:59:01.335901
MainProcess,21092,170_872_832,170_872_832,136_384_512,pipeline.run_model sub_balancing.geography=TAZ start,0,2022/05/31 17:59:01.352903
MainProcess,21092,225_742_848,225_742_848,183_959_552,pipeline.run_model sub_balancing.geography=TAZ finished,0,2022/06/01 10:23:13.570812
MainProcess,21092,227_840_000,227_840_000,185_036_800,pipeline.run after sub_balancing.geography=TAZ,0,2022/06/01 10:23:13.921461
MainProcess,21092,227_848_192,227_848_192,185_036_800,pipeline.run_model expand_households start,0,2022/06/01 10:23:13.964151
MainProcess,21092,279_588_864,279_588_864,223_371_264,pipeline.run_model expand_households finished,0,2022/06/01 10:48:36.562665
MainProcess,21092,281_636_864,281_636_864,224_448_512,pipeline.run after expand_households,0,2022/06/01 10:48:37.013227
MainProcess,21092,281_640_960,281_640_960,224_452_608,pipeline.run_model write_data_dictionary start,0,2022/06/01 10:48:37.048099
MainProcess,21092,337_883_136,337_883_136,280_559_616,pipeline.run_model write_data_dictionary finished,0,2022/06/01 10:48:38.230423
MainProcess,21092,337_891_328,337_891_328,280_567_808,pipeline.run after write_data_dictionary,0,2022/06/01 10:48:38.295553
MainProcess,21092,337_891_328,337_891_328,280_567_808,pipeline.run_model summarize start,0,2022/06/01 10:48:38.313320
MainProcess,21092,330_051_584,330_051_584,273_670_144,pipeline.run_model summarize finished,0,2022/06/01 10:48:56.587564
MainProcess,21092,335_446_016,335_446_016,278_118_400,pipeline.run after summarize,0,2022/06/01 10:48:56.686456
MainProcess,21092,335_446_016,335_446_016,278_118_400,pipeline.run_model write_tables start,0,2022/06/01 10:48:56.699457
MainProcess,21092,338_571_264,338_571_264,281_243_648,pipeline.run_model write_tables finished,0,2022/06/01 10:49:05.654009
MainProcess,21092,338_575_360,338_575_360,281_247_744,pipeline.run after write_tables,0,2022/06/01 10:49:05.698687
MainProcess,21092,338_575_360,338_575_360,281_247_744,pipeline.run_model write_synthetic_population start,0,2022/06/01 10:49:05.727863
MainProcess,21092,341_508_096,341_508_096,284_164_096,pipeline.run_model write_synthetic_population finished,0,2022/06/01 10:49:45.911357
MainProcess,21092,341_508_096,341_508_096,284_164_096,pipeline.run after write_synthetic_population,0,2022/06/01 10:49:45.961598
MainProcess,21092,341_508_096,341_508_096,284_164_096,pipeline.run after run_models,0,2022/06/01 10:49:45.984396
