geography,id,HH_control,HHSize1_control,HHSize2_control,HHSize3_control,HHSize4p_control,Income1_control,Income2_control,Income3_control,Income4_control,Tot_Emp_control,Tot_Pop_control,HH_result,HHSize1_result,HHSize2_result,HHSize3_result,HHSize4p_result,Income1_result,Income2_result,Income3_result,Income4_result,Tot_Emp_result,Tot_Pop_result,HH_diff,HHSize1_diff,HHSize2_diff,HHSize3_diff,HHSize4p_diff,Income1_diff,Income2_diff,Income3_diff,Income4_diff,Tot_Emp_diff,Tot_Pop_diff
PUMA,2504700.0,50570.0,17694.0,20439.0,5464.0,6973.0,15691.0,15336.0,10933.0,8610.0,48552.0,112992.0,50570,17697,20438,5465,6970,15660,15325,10946,8639,48538,112924,0.0,3.0,-1.0,1.0,-3.0,-31.0,-11.0,13.0,29.0,-14.0,-68.0
PUMA,2504800.0,45884.0,16118.0,18946.0,4975.0,5845.0,14131.0,15617.0,9410.0,6726.0,41321.0,96631.0,45884,16113,18935,4985,5851,14107,15599,9428,6750,41318,96603,0.0,-5.0,-11.0,10.0,6.0,-24.0,-18.0,18.0,24.0,-3.0,-28.0
PUMA,2504901.0,49633.0,12730.0,18074.0,7698.0,11131.0,11530.0,14061.0,13383.0,10659.0,45293.0,131401.0,49633,12727,18077,7692,11137,11510,14045,13395,10683,45303,131284,0.0,-3.0,3.0,-6.0,6.0,-20.0,-16.0,12.0,24.0,10.0,-117.0
PUMA,2504902.0,49948.0,12960.0,18837.0,7856.0,10295.0,10903.0,13432.0,14569.0,11044.0,38440.0,123239.0,53262,13171,19210,8239,12642,11185,13940,15354,12783,45904,139091,3314.0,211.0,373.0,383.0,2347.0,282.0,508.0,785.0,1739.0,7464.0,15852.0
PUMA,2504903.0,61769.0,20508.0,19159.0,8814.0,13288.0,15994.0,16619.0,14504.0,14652.0,49489.0,144695.0,63250,20572,19210,8839,14629,16041,16645,15219,15345,52903,152188,1481.0,64.0,51.0,25.0,1341.0,47.0,26.0,715.0,693.0,3414.0,7493.0
PUMA,3300300.0,4143.0,1884.0,1107.0,575.0,577.0,745.0,1121.0,1310.0,967.0,4558.0,9347.0,4143,1884,1109,574,576,745,1119,1311,968,4558,9336,0.0,0.0,2.0,-1.0,-1.0,0.0,-2.0,1.0,1.0,0.0,-11.0
PUMA,3300400.0,6309.0,2726.0,2108.0,871.0,604.0,1150.0,2124.0,2009.0,1026.0,5385.0,13709.0,6309,2725,2107,870,607,1150,2123,2009,1027,5390,13691,0.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,0.0,1.0,5.0,-18.0
PUMA,3300500.0,5093.0,2562.0,1446.0,466.0,619.0,1173.0,1740.0,1533.0,647.0,1916.0,11496.0,5616,2604,1523,563,926,1253,1878,1680,805,2621,13729,523.0,42.0,77.0,97.0,307.0,80.0,138.0,147.0,158.0,705.0,2233.0
PUMA,3300600.0,52172.0,21368.0,16460.0,6449.0,7895.0,7273.0,13268.0,15256.0,16375.0,59401.0,119896.0,57312,21791,17169,7269,11083,7874,14353,16604,18481,68605,141401,5140.0,423.0,709.0,820.0,3188.0,601.0,1085.0,1348.0,2106.0,9204.0,21505.0
PUMA,3300700.0,64094.0,26626.0,19941.0,8220.0,9307.0,11171.0,17753.0,18077.0,17093.0,65838.0,150531.0,70955,27191,20806,9339,13619,12044,18845,20080,19986,78777,180626,6861.0,565.0,865.0,1119.0,4312.0,873.0,1092.0,2003.0,2893.0,12939.0,30095.0
PUMA,3300800.0,46349.0,22058.0,13678.0,4872.0,5741.0,16242.0,15617.0,9853.0,4637.0,81533.0,100362.0,54075,22679,14603,6081,10712,17826,17278,11880,7091,96312,135577,7726.0,621.0,925.0,1209.0,4971.0,1584.0,1661.0,2027.0,2454.0,14779.0,35215.0
PUMA,3300900.0,50738.0,21958.0,15080.0,6336.0,7364.0,12619.0,13770.0,13183.0,11166.0,66087.0,115859.0,57827,22562,16053,7608,11604,13652,15000,14968,14207,79210,146776,7089.0,604.0,973.0,1272.0,4240.0,1033.0,1230.0,1785.0,3041.0,13123.0,30917.0
PUMA,3301000.0,81803.0,37495.0,24473.0,9118.0,10717.0,16397.0,22874.0,21972.0,20560.0,122218.0,180259.0,92063,38296,25802,10810,17155,17738,25086,24742,24497,141522,223144,10260.0,801.0,1329.0,1692.0,6438.0,1341.0,2212.0,2770.0,3937.0,19304.0,42885.0
PUMA,4400101.0,66095.0,23005.0,22203.0,11332.0,9555.0,19670.0,18239.0,15994.0,12192.0,71824.0,148094.0,69298,23137,22359,11417,12385,19835,18661,17412,13390,78822,164031,3203.0,132.0,156.0,85.0,2830.0,165.0,422.0,1418.0,1198.0,6998.0,15937.0
PUMA,4400102.0,80788.0,30278.0,24442.0,13756.0,12312.0,30233.0,25198.0,15883.0,9474.0,56347.0,175613.0,86822,30557,24873,14136,17256,30728,25902,18265,11927,70024,206605,6034.0,279.0,431.0,380.0,4944.0,495.0,704.0,2382.0,2453.0,13677.0,30992.0
PUMA,4400103.0,81936.0,33564.0,21117.0,13717.0,13538.0,39239.0,23712.0,11206.0,7779.0,118905.0,191631.0,82619,33614,21129,13728,14148,39240,23749,11798,7832,119753,195533,683.0,50.0,12.0,11.0,610.0,1.0,37.0,592.0,53.0,848.0,3902.0
PUMA,4400104.0,52011.0,19238.0,16619.0,8514.0,7640.0,16758.0,16234.0,12332.0,6687.0,49873.0,116592.0,57946,19700,17399,9073,11774,17323,17223,14044,9356,62634,143287,5935.0,462.0,780.0,559.0,4134.0,565.0,989.0,1712.0,2669.0,12761.0,26695.0
PUMA,4400201.0,74253.0,25761.0,25399.0,12339.0,10754.0,19937.0,23270.0,18275.0,12771.0,81301.0,161123.0,78527,25931,25640,12543,14413,20180,23735,20260,14352,90073,182932,4274.0,170.0,241.0,204.0,3659.0,243.0,465.0,1985.0,1581.0,8772.0,21809.0
PUMA,4400300.0,54090.0,18787.0,19143.0,8348.0,7812.0,12985.0,14795.0,13278.0,13032.0,68533.0,123452.0,58808,19051,19611,8707,11439,13422,15403,14491,15492,78355,146475,4718.0,264.0,468.0,359.0,3627.0,437.0,608.0,1213.0,2460.0,9822.0,23023.0
PUMA,4400400.0,63602.0,21234.0,22879.0,10463.0,9026.0,13679.0,18658.0,15871.0,15394.0,67203.0,143368.0,67326,21454,23255,10712,11905,14030,19129,17359,16808,74935,160155,3724.0,220.0,376.0,249.0,2879.0,351.0,471.0,1488.0,1414.0,7732.0,16787.0
