geography,id,HH_control,HHSize1_control,HHSize2_control,HHSize3_control,HHSize4p_control,Income1_control,Income2_control,Income3_control,Income4_control,HHWrk0_control,HHWrk1_control,HHWrk2_control,HHWrk3p_control,Tot_Emp_control,Tot_Pop_control,HH_result,HHSize1_result,HHSize2_result,HHSize3_result,HHSize4p_result,Income1_result,Income2_result,Income3_result,Income4_result,HHWrk0_result,HHWrk1_result,HHWrk2_result,HHWrk3p_result,Tot_Emp_result,Tot_Pop_result,HH_diff,HHSize1_diff,HHSize2_diff,HHSize3_diff,HHSize4p_diff,Income1_diff,Income2_diff,Income3_diff,Income4_diff,HHWrk0_diff,HHWrk1_diff,HHWrk2_diff,HHWrk3p_diff,Tot_Emp_diff,Tot_Pop_diff
PUMA,2504903,61769.0,20508.0,19159.0,8814.0,13288.0,15994.0,16619.0,14504.0,14652.0,18589.0,19698.0,19002.0,4480.0,49489.0,144695.0,63250,20789,19332,8907,14222,16122,16790,15132,15206,20280,20341,18377,4252,69851,155860,1481.0,281.0,173.0,93.0,934.0,128.0,171.0,628.0,554.0,1691.0,643.0,-625.0,-228.0,20362.0,11165.0
PUMA,3300300,4143.0,1884.0,1107.0,575.0,577.0,745.0,1121.0,1310.0,967.0,1063.0,1329.0,1494.0,257.0,4558.0,9347.0,4143,1885,1108,575,575,743,1119,1310,971,1088,1336,1471,248,5022,9382,0.0,1.0,1.0,0.0,-2.0,-2.0,-2.0,0.0,4.0,25.0,7.0,-23.0,-9.0,464.0,35.0
PUMA,3300400,6309.0,2726.0,2108.0,871.0,604.0,1150.0,2124.0,2009.0,1026.0,1292.0,2124.0,2316.0,577.0,5385.0,13709.0,6309,2737,2112,871,589,1148,2124,2017,1020,1438,2178,2191,502,8066,13989,0.0,11.0,4.0,0.0,-15.0,-2.0,0.0,8.0,-6.0,146.0,54.0,-125.0,-75.0,2681.0,280.0
PUMA,3300500,5093.0,2562.0,1446.0,466.0,619.0,1173.0,1740.0,1533.0,647.0,1086.0,2044.0,1729.0,234.0,1916.0,11496.0,5392,2595,1518,566,713,1219,1812,1633,728,1465,2219,1531,177,5812,12445,299.0,33.0,72.0,100.0,94.0,46.0,72.0,100.0,81.0,379.0,175.0,-198.0,-57.0,3896.0,949.0
PUMA,3300600,52172.0,21368.0,16460.0,6449.0,7895.0,7273.0,13268.0,15256.0,16375.0,8750.0,19006.0,19890.0,4526.0,59401.0,119896.0,55515,21801,17013,7141,9560,7620,13929,16241,17725,9881,20344,20397,4893,75817,136682,3343.0,433.0,553.0,692.0,1665.0,347.0,661.0,985.0,1350.0,1131.0,1338.0,507.0,367.0,16416.0,16786.0
PUMA,3300700,64094.0,26626.0,19941.0,8220.0,9307.0,11171.0,17753.0,18077.0,17093.0,11959.0,21128.0,24865.0,6142.0,65838.0,150531.0,67616,27323,20689,9103,10501,11642,18302,19029,18643,13871,22828,24724,6193,90952,170990,3522.0,697.0,748.0,883.0,1194.0,471.0,549.0,952.0,1550.0,1912.0,1700.0,-141.0,51.0,25114.0,20459.0
PUMA,3300800,46349.0,22058.0,13678.0,4872.0,5741.0,16242.0,15617.0,9853.0,4637.0,12033.0,17517.0,13570.0,3229.0,81533.0,100362.0,50100,22450,14488,5756,7406,16931,16468,10755,5946,12476,18550,14848,4226,72375,110350,3751.0,392.0,810.0,884.0,1665.0,689.0,851.0,902.0,1309.0,443.0,1033.0,1278.0,997.0,-9158.0,9988.0
PUMA,3300900,50738.0,21958.0,15080.0,6336.0,7364.0,12619.0,13770.0,13183.0,11166.0,11806.0,18202.0,16515.0,4215.0,66087.0,115859.0,56677,22407,15782,7330,11158,13402,14752,14628,13895,12772,20006,17874,6025,77707,142977,5939.0,449.0,702.0,994.0,3794.0,783.0,982.0,1445.0,2729.0,966.0,1804.0,1359.0,1810.0,11620.0,27118.0
PUMA,3301000,81803.0,37495.0,24473.0,9118.0,10717.0,16397.0,22874.0,21972.0,20560.0,18199.0,29392.0,27855.0,6357.0,122218.0,180259.0,89645,38014,25473,10230,15928,17524,24582,23970,23569,19704,31663,30032,8246,130468,211730,7842.0,519.0,1000.0,1112.0,5211.0,1127.0,1708.0,1998.0,3009.0,1505.0,2271.0,2177.0,1889.0,8250.0,31471.0
PUMA,4400101,66095.0,23005.0,22203.0,11332.0,9555.0,19670.0,18239.0,15994.0,12192.0,18260.0,23379.0,19228.0,5228.0,71824.0,148094.0,69189,23255,22422,11543,11969,19904,18913,17167,13205,19180,24433,19764,5812,81493,163158,3094.0,250.0,219.0,211.0,2414.0,234.0,674.0,1173.0,1013.0,920.0,1054.0,536.0,584.0,9669.0,15064.0
PUMA,4400102,80788.0,30278.0,24442.0,13756.0,12312.0,30233.0,25198.0,15883.0,9474.0,23488.0,30015.0,21298.0,5987.0,56347.0,175613.0,86392,31099,25105,14271,15917,30860,26465,17842,11225,26792,31865,21296,6439,93774,210015,5604.0,821.0,663.0,515.0,3605.0,627.0,1267.0,1959.0,1751.0,3304.0,1850.0,-2.0,452.0,37427.0,34402.0
PUMA,4400103,81936.0,33564.0,21117.0,13717.0,13538.0,39239.0,23712.0,11206.0,7779.0,24866.0,31919.0,19639.0,5512.0,118905.0,191631.0,82619,33417,21138,13812,14252,39398,24115,11307,7799,24160,31924,20300,6235,105035,190025,683.0,-147.0,21.0,95.0,714.0,159.0,403.0,101.0,20.0,-706.0,5.0,661.0,723.0,-13870.0,-1606.0
PUMA,4400104,52011.0,19238.0,16619.0,8514.0,7640.0,16758.0,16234.0,12332.0,6687.0,15652.0,18895.0,13872.0,3592.0,49873.0,116592.0,56898,19736,17282,9335,10545,17308,17372,13666,8552,17113,20334,14958,4493,63729,137263,4887.0,498.0,663.0,821.0,2905.0,550.0,1138.0,1334.0,1865.0,1461.0,1439.0,1086.0,901.0,13856.0,20671.0
PUMA,4400201,74253.0,25761.0,25399.0,12339.0,10754.0,19937.0,23270.0,18275.0,12771.0,19762.0,27939.0,21276.0,5276.0,81301.0,161123.0,78253,26081,25752,12722,13698,20320,23957,19836,14140,20835,29299,22174,5945,91482,181021,4000.0,320.0,353.0,383.0,2944.0,383.0,687.0,1561.0,1369.0,1073.0,1360.0,898.0,669.0,10181.0,19898.0
PUMA,4400300,54090.0,18787.0,19143.0,8348.0,7812.0,12985.0,14795.0,13278.0,13032.0,14366.0,19885.0,16593.0,3246.0,68533.0,123452.0,58518,19036,19522,8828,11132,13436,15309,14271,15502,15445,20851,17291,4931,77700,145137,4428.0,249.0,379.0,480.0,3320.0,451.0,514.0,993.0,2470.0,1079.0,966.0,698.0,1685.0,9167.0,21685.0
PUMA,4400400,63602.0,21234.0,22879.0,10463.0,9026.0,13679.0,18658.0,15871.0,15394.0,15844.0,22585.0,20497.0,4676.0,67203.0,143368.0,66871,21592,23284,10791,11204,14137,19235,17007,16492,17205,23742,20972,4952,80542,159198,3269.0,358.0,405.0,328.0,2178.0,458.0,577.0,1136.0,1098.0,1361.0,1157.0,475.0,276.0,13339.0,15830.0
