process_name,model_name,seconds,minutes
MainProcess,input_pre_processor,0.9,0.0
MainProcess,setup_data_structures,0.7,0.0
MainProcess,initial_seed_balancing,21.4,0.4
MainProcess,meta_control_factoring,0.1,0.0
MainProcess,final_seed_balancing,0.1,0.0
MainProcess,integerize_final_seed_weights,0.8,0.0
MainProcess,sub_balancing.geography=TAZ,2029.0,33.8
MainProcess,expand_households,88.2,1.5
MainProcess,write_data_dictionary,1.0,0.0
MainProcess,summarize,15.8,0.3
MainProcess,write_tables,8.5,0.1
MainProcess,write_synthetic_population,37.0,0.6
