geography,id,HH_control,HHSize1_control,HHSize2_control,HHSize3_control,HHSize4p_control,Income1_control,Income2_control,Income3_control,Income4_control,HHWrk0_control,HHWrk1_control,HHWrk2_control,HHWrk3p_control,Tot_Emp_control,Tot_Pop_control,HH_result,HHSize1_result,HHSize2_result,HHSize3_result,HHSize4p_result,Income1_result,Income2_result,Income3_result,Income4_result,HHWrk0_result,HHWrk1_result,HHWrk2_result,HHWrk3p_result,Tot_Emp_result,Tot_Pop_result,HH_diff,HHSize1_diff,HHSize2_diff,HHSize3_diff,HHSize4p_diff,Income1_diff,Income2_diff,Income3_diff,Income4_diff,HHWrk0_diff,HHWrk1_diff,HHWrk2_diff,HHWrk3p_diff,Tot_Emp_diff,Tot_Pop_diff
PUMA,2503500,45440.0,10729.0,14502.0,8647.0,11562.0,7887.0,10020.0,10224.0,17309.0,13158.0,15427.0,13454.0,3401.0,64656.0,118860.0,47034,11031,14762,8731,12510,8081,10308,10568,18077,12672,15830,14532,4000,64906,125186,1594.0,302.0,260.0,84.0,948.0,194.0,288.0,344.0,768.0,-486.0,403.0,1078.0,599.0,250.0,6326.0
PUMA,2503601,57274.0,15248.0,18982.0,10381.0,12663.0,12139.0,14575.0,15249.0,15311.0,13054.0,19302.0,20072.0,4846.0,64674.0,141946.0,58565,15499,19045,10323,13698,12127,14587,15451,16400,15335,20105,18326,4799,71682,149948,1291.0,251.0,63.0,-58.0,1035.0,-12.0,12.0,202.0,1089.0,2281.0,803.0,-1746.0,-47.0,7008.0,8002.0
PUMA,2503602,54863.0,17764.0,18727.0,8766.0,9606.0,15513.0,14537.0,14756.0,10057.0,14683.0,19198.0,16797.0,4185.0,80902.0,130513.0,56940,18166,19013,8890,10871,15790,14933,15401,10816,14353,19509,18139,4939,82460,139319,2077.0,402.0,286.0,124.0,1265.0,277.0,396.0,645.0,759.0,-330.0,311.0,1342.0,754.0,1558.0,8806.0
PUMA,2503603,65172.0,25109.0,22156.0,8703.0,9204.0,20819.0,17355.0,16749.0,10249.0,18748.0,23612.0,18551.0,4261.0,47958.0,141110.0,65184,25695,22054,8463,8972,20742,17278,16805,10359,26213,23179,12769,3023,57901,143517,12.0,586.0,-102.0,-240.0,-232.0,-77.0,-77.0,56.0,110.0,7465.0,-433.0,-5782.0,-1238.0,9943.0,2407.0
PUMA,2503900,66172.0,22282.0,22468.0,9851.0,11571.0,17940.0,18110.0,16105.0,14017.0,16657.0,24761.0,20663.0,4091.0,72913.0,159372.0,66190,22287,22420,9825,11658,17867,18049,16157,14117,17960,24933,19432,3865,75440,159839,18.0,5.0,-48.0,-26.0,87.0,-73.0,-61.0,52.0,100.0,1303.0,172.0,-1231.0,-226.0,2527.0,467.0
PUMA,2504000,49006.0,13542.0,18517.0,7196.0,9751.0,18037.0,15439.0,10069.0,5461.0,15182.0,15205.0,13250.0,5369.0,57513.0,128126.0,49892,13559,18508,7241,10584,18028,15456,10478,5930,15467,15360,13254,5811,60167,132980,886.0,17.0,-9.0,45.0,833.0,-9.0,17.0,409.0,469.0,285.0,155.0,4.0,442.0,2654.0,4854.0
PUMA,2504200,58465.0,15328.0,23123.0,10125.0,9889.0,15042.0,18345.0,13995.0,11083.0,13291.0,19724.0,20852.0,4598.0,54773.0,135220.0,58469,15945,23165,9812,9547,14977,18256,14024,11212,18305,20391,16206,3567,63570,137584,4.0,617.0,42.0,-313.0,-342.0,-65.0,-89.0,29.0,129.0,5014.0,667.0,-4646.0,-1031.0,8797.0,2364.0
PUMA,2504301,50656.0,15831.0,20366.0,7680.0,6779.0,13984.0,14951.0,13023.0,8698.0,14580.0,15396.0,16912.0,3768.0,45137.0,122727.0,50703,15920,20358,7640,6785,13917,14904,13089,8793,18792,15567,13379,2965,51228,123755,47.0,89.0,-8.0,-40.0,6.0,-67.0,-47.0,66.0,95.0,4212.0,171.0,-3533.0,-803.0,6091.0,1028.0
PUMA,2504302,45551.0,16012.0,17529.0,6980.0,5030.0,24280.0,11613.0,6889.0,2769.0,20493.0,13810.0,9298.0,1950.0,35484.0,98672.0,46150,16062,17545,7011,5532,24258,11660,7198,3034,21485,13828,8813,2024,37666,101713,599.0,50.0,16.0,31.0,502.0,-22.0,47.0,309.0,265.0,992.0,18.0,-485.0,74.0,2182.0,3041.0
PUMA,2504303,56609.0,15183.0,21996.0,9712.0,9718.0,15629.0,16017.0,14772.0,10191.0,13362.0,19550.0,19518.0,4179.0,56588.0,136568.0,56614,15303,21955,9622,9734,15559,15946,14815,10294,16850,20027,16228,3509,63076,137749,5.0,120.0,-41.0,-90.0,16.0,-70.0,-71.0,43.0,103.0,3488.0,477.0,-3290.0,-670.0,6488.0,1181.0
PUMA,2504500,52374.0,17678.0,20088.0,8166.0,6442.0,26675.0,14648.0,7897.0,3154.0,20206.0,17564.0,12265.0,2339.0,44669.0,119833.0,52376,17699,20038,8138,6501,26572,14632,7984,3188,21562,17397,11236,2181,46450,120257,2.0,21.0,-50.0,-28.0,59.0,-103.0,-16.0,87.0,34.0,1356.0,-167.0,-1029.0,-158.0,1781.0,424.0
PUMA,2504700,50570.0,17694.0,20439.0,5464.0,6973.0,15691.0,15336.0,10933.0,8610.0,20302.0,15342.0,11861.0,3065.0,48552.0,112992.0,50580,17687,20419,5456,7018,15634,15307,10970,8669,20372,15358,11798,3052,48605,113143,10.0,-7.0,-20.0,-8.0,45.0,-57.0,-29.0,37.0,59.0,70.0,16.0,-63.0,-13.0,53.0,151.0
PUMA,2504800,45884.0,16118.0,18946.0,4975.0,5845.0,14131.0,15617.0,9410.0,6726.0,17980.0,14876.0,10676.0,2352.0,41321.0,96631.0,45884,16167,18916,4943,5858,14072,15602,9453,6757,18583,14819,10231,2251,42069,96841,0.0,49.0,-30.0,-32.0,13.0,-59.0,-15.0,43.0,31.0,603.0,-57.0,-445.0,-101.0,748.0,210.0
PUMA,2504901,49633.0,12730.0,18074.0,7698.0,11131.0,11530.0,14061.0,13383.0,10659.0,12582.0,15104.0,16463.0,5484.0,45293.0,131401.0,49644,13296,18234,7523,10591,11484,14006,13428,10726,17445,15552,12499,4148,53039,133410,11.0,566.0,160.0,-175.0,-540.0,-46.0,-55.0,45.0,67.0,4863.0,448.0,-3964.0,-1336.0,7746.0,2009.0
PUMA,2504902,49948.0,12960.0,18837.0,7856.0,10295.0,10903.0,13432.0,14569.0,11044.0,12077.0,15383.0,17622.0,4866.0,38440.0,123239.0,52920,13871,19308,7996,11745,11104,13862,15233,12721,19949,16469,12193,4309,55288,140087,2972.0,911.0,471.0,140.0,1450.0,201.0,430.0,664.0,1677.0,7872.0,1086.0,-5429.0,-557.0,16848.0,16848.0
PUMA,2504903,61769.0,20508.0,19159.0,8814.0,13288.0,15994.0,16619.0,14504.0,14652.0,18589.0,19698.0,19002.0,4480.0,49489.0,144695.0,63245,21059,19273,8748,14165,16055,16673,15062,15455,25001,19873,14296,4075,61399,153451,1476.0,551.0,114.0,-66.0,877.0,61.0,54.0,558.0,803.0,6412.0,175.0,-4706.0,-405.0,11910.0,8756.0
PUMA,3300300,4143.0,1884.0,1107.0,575.0,577.0,745.0,1121.0,1310.0,967.0,1063.0,1329.0,1494.0,257.0,4558.0,9347.0,4143,1869,1110,575,589,743,1120,1312,968,1189,1351,1370,233,4790,9369,0.0,-15.0,3.0,0.0,12.0,-2.0,-1.0,2.0,1.0,126.0,22.0,-124.0,-24.0,232.0,22.0
PUMA,3300400,6309.0,2726.0,2108.0,871.0,604.0,1150.0,2124.0,2009.0,1026.0,1292.0,2124.0,2316.0,577.0,5385.0,13709.0,6309,2760,2098,852,599,1148,2112,2006,1043,2057,2232,1607,413,6697,13939,0.0,34.0,-10.0,-19.0,-5.0,-2.0,-12.0,-3.0,17.0,765.0,108.0,-709.0,-164.0,1312.0,230.0
PUMA,3300500,5093.0,2562.0,1446.0,466.0,619.0,1173.0,1740.0,1533.0,647.0,1086.0,2044.0,1729.0,234.0,1916.0,11496.0,5690,2515,1529,571,1075,1218,1827,1721,924,2701,1973,729,287,4501,14455,597.0,-47.0,83.0,105.0,456.0,45.0,87.0,188.0,277.0,1615.0,-71.0,-1000.0,53.0,2585.0,2959.0
PUMA,3300600,52172.0,21368.0,16460.0,6449.0,7895.0,7273.0,13268.0,15256.0,16375.0,8750.0,19006.0,19890.0,4526.0,59401.0,119896.0,57119,21956,17104,7139,10920,7823,14285,16545,18466,12224,21386,18219,5290,74714,142191,4947.0,588.0,644.0,690.0,3025.0,550.0,1017.0,1289.0,2091.0,3474.0,2380.0,-1671.0,764.0,15313.0,22295.0
PUMA,3300700,64094.0,26626.0,19941.0,8220.0,9307.0,11171.0,17753.0,18077.0,17093.0,11959.0,21128.0,24865.0,6142.0,65838.0,150531.0,70675,27647,20706,9051,13271,11961,18761,19979,19974,18280,24395,21096,6904,89045,182187,6581.0,1021.0,765.0,831.0,3964.0,790.0,1008.0,1902.0,2881.0,6321.0,3267.0,-3769.0,762.0,23207.0,31656.0
PUMA,3300800,46349.0,22058.0,13678.0,4872.0,5741.0,16242.0,15617.0,9853.0,4637.0,12033.0,17517.0,13570.0,3229.0,81533.0,100362.0,50719,22327,14753,5918,7721,17230,16681,10982,5826,10781,18098,16755,5085,80013,114176,4370.0,269.0,1075.0,1046.0,1980.0,988.0,1064.0,1129.0,1189.0,-1252.0,581.0,3185.0,1856.0,-1520.0,13814.0
PUMA,3300900,50738.0,21958.0,15080.0,6336.0,7364.0,12619.0,13770.0,13183.0,11166.0,11806.0,18202.0,16515.0,4215.0,66087.0,115859.0,57395,22452,15993,7537,11413,13587,14926,14865,14017,13002,20288,18052,6053,78491,144994,6657.0,494.0,913.0,1201.0,4049.0,968.0,1156.0,1682.0,2851.0,1196.0,2086.0,1537.0,1838.0,12404.0,29135.0
PUMA,3301000,81803.0,37495.0,24473.0,9118.0,10717.0,16397.0,22874.0,21972.0,20560.0,18199.0,29392.0,27855.0,6357.0,122218.0,180259.0,90817,37701,25826,10788,16502,17634,24720,24401,24062,19074,31607,30976,9160,135271,217254,9014.0,206.0,1353.0,1670.0,5785.0,1237.0,1846.0,2429.0,3502.0,875.0,2215.0,3121.0,2803.0,13053.0,36995.0
PUMA,4400101,66095.0,23005.0,22203.0,11332.0,9555.0,19670.0,18239.0,15994.0,12192.0,18260.0,23379.0,19228.0,5228.0,71824.0,148094.0,69286,23224,22380,11463,12219,19800,18593,17353,13540,20104,24155,18608,6419,82026,164158,3191.0,219.0,177.0,131.0,2664.0,130.0,354.0,1359.0,1348.0,1844.0,776.0,-620.0,1191.0,10202.0,16064.0
PUMA,4400102,80788.0,30278.0,24442.0,13756.0,12312.0,30233.0,25198.0,15883.0,9474.0,23488.0,30015.0,21298.0,5987.0,56347.0,175613.0,86704,31363,24843,13894,16604,30618,25847,18170,12069,34488,30318,15128,6770,83177,208633,5916.0,1085.0,401.0,138.0,4292.0,385.0,649.0,2287.0,2595.0,11000.0,303.0,-6170.0,783.0,26830.0,33020.0
PUMA,4400103,81936.0,33564.0,21117.0,13717.0,13538.0,39239.0,23712.0,11206.0,7779.0,24866.0,31919.0,19639.0,5512.0,118905.0,191631.0,82766,33095,21202,14010,14459,39348,24162,11334,7922,21779,31798,22146,7043,112705,194270,830.0,-469.0,85.0,293.0,921.0,109.0,450.0,128.0,143.0,-3087.0,-121.0,2507.0,1531.0,-6200.0,2639.0
PUMA,4400104,52011.0,19238.0,16619.0,8514.0,7640.0,16758.0,16234.0,12332.0,6687.0,15652.0,18895.0,13872.0,3592.0,49873.0,116592.0,57749,19716,17327,9127,11579,17242,17143,14012,9352,18514,20156,13644,5435,65686,142886,5738.0,478.0,708.0,613.0,3939.0,484.0,909.0,1680.0,2665.0,2862.0,1261.0,-228.0,1843.0,15813.0,26294.0
PUMA,4400201,74253.0,25761.0,25399.0,12339.0,10754.0,19937.0,23270.0,18275.0,12771.0,19762.0,27939.0,21276.0,5276.0,81301.0,161123.0,78425,26169,25659,12573,14024,20153,23702,20106,14464,21561,29037,21149,6678,92608,182287,4172.0,408.0,260.0,234.0,3270.0,216.0,432.0,1831.0,1693.0,1799.0,1098.0,-127.0,1402.0,11307.0,21164.0
PUMA,4400300,54090.0,18787.0,19143.0,8348.0,7812.0,12985.0,14795.0,13278.0,13032.0,14366.0,19885.0,16593.0,3246.0,68533.0,123452.0,58585,19053,19566,8817,11149,13428,15355,14386,15416,15426,20923,17364,4872,77470,144966,4495.0,266.0,423.0,469.0,3337.0,443.0,560.0,1108.0,2384.0,1060.0,1038.0,771.0,1626.0,8937.0,21514.0
PUMA,4400400,63602.0,21234.0,22879.0,10463.0,9026.0,13679.0,18658.0,15871.0,15394.0,15844.0,22585.0,20497.0,4676.0,67203.0,143368.0,67099,21633,23209,10680,11577,13990,19016,17304,16789,18944,23662,18965,5528,79467,160048,3497.0,399.0,330.0,217.0,2551.0,311.0,358.0,1433.0,1395.0,3100.0,1077.0,-1532.0,852.0,12264.0,16680.0
