geography,id,HH_control,HHSize1_control,HHSize2_control,HHSize3_control,HHSize4p_control,Income1_control,Income2_control,Income3_control,Income4_control,HHWrk0_control,HHWrk1_control,HHWrk2_control,HHWrk3p_control,HH_Pop_control,HH_result,HHSize1_result,HHSize2_result,HHSize3_result,HHSize4p_result,Income1_result,Income2_result,Income3_result,Income4_result,HHWrk0_result,HHWrk1_result,HHWrk2_result,HHWrk3p_result,HH_Pop_result,HH_diff,HHSize1_diff,HHSize2_diff,HHSize3_diff,HHSize4p_diff,Income1_diff,Income2_diff,Income3_diff,Income4_diff,HHWrk0_diff,HHWrk1_diff,HHWrk2_diff,HHWrk3p_diff,HH_Pop_diff
PUMA,2501400.0,47119,11742,14918,8052,12407,9275,9249,10050,18545,9410,17304,16656,3749,119677,47119,11740,14917,8052,12410,9270,9250,10050,18549,9410,17306,16655,3748,119696,0,-2,-1,0,3,-5,1,0,4,0,2,-1,-1,19
PUMA,2501600.0,60737,18489,22768,9047,10433,18541,19106,14223,8867,17040,21347,18265,4085,138599,60737,18491,22768,9046,10432,18537,19111,14223,8866,17039,21347,18264,4087,138593,0,2,0,-1,-1,-4,5,0,-1,-1,0,-1,2,-6
PUMA,2501900.0,58617,17453,21240,9018,10906,30838,16796,8085,2898,24310,19700,11310,3297,149341,58617,17454,21241,9016,10906,30838,16799,8083,2897,24309,19703,11309,3296,149350,0,1,1,-2,0,0,3,-2,-1,-1,3,-1,-1,9
PUMA,2501901.0,60662,19527,19634,9541,11960,22981,17641,12549,7491,19834,20457,16408,3963,143868,60662,19529,19631,9540,11962,22980,17647,12546,7489,19831,20460,16407,3964,143869,0,2,-3,-1,2,-1,6,-3,-2,-3,3,-1,1,1
PUMA,2501902.0,52420,15533,18686,8268,9933,16167,15895,11612,8746,17316,15963,15066,4075,124409,52420,15533,18688,8267,9932,16168,15898,11611,8743,17315,15965,15069,4071,124406,0,0,2,-1,-1,1,3,-1,-3,-1,2,3,-4,-3
PUMA,2502400.0,46330,11513,14023,8175,12619,9697,10807,10669,15157,8277,16685,17309,4059,118854,46330,11511,14023,8176,12620,9690,10807,10671,15162,8275,16684,17310,4061,118851,0,-2,0,1,1,-7,0,2,5,-2,-1,1,2,-3
PUMA,2502800.0,59690,18903,19388,9573,11826,15043,15667,16807,12173,14096,21355,18754,5485,141996,59690,18905,19389,9573,11823,15040,15666,16810,12174,14097,21354,18753,5486,142005,0,2,1,0,-3,-3,-1,3,1,1,-1,-1,1,9
PUMA,2503301.0,49429,18452,20445,5356,5176,19288,14496,8612,7033,13747,18757,12928,3997,99720,49429,18453,20445,5357,5174,19288,14494,8612,7035,13752,18758,12933,3986,99718,0,1,0,1,-2,0,-2,0,2,5,1,5,-11,-2
PUMA,2503302.0,78024,29838,30339,8914,8933,20803,17899,12861,26461,17263,30462,25238,5061,158253,78024,29825,30338,8913,8948,20798,17895,12863,26468,17266,30466,25230,5062,158283,0,-13,-1,-1,15,-5,-4,2,7,3,4,-8,1,30
PUMA,2503303.0,51536,15646,18782,8014,9094,14948,16711,10581,9296,11285,20168,15721,4362,123973,51536,15647,18781,8014,9094,14948,16709,10580,9299,11285,20171,15720,4360,123981,0,1,-1,0,0,0,-2,-1,3,0,3,-1,-2,8
PUMA,2503304.0,48668,14482,14698,8856,10632,22227,14342,7474,4625,14723,18234,11303,4408,124595,48668,14482,14699,8856,10631,22228,14345,7472,4623,14722,18238,11302,4406,124589,0,0,1,0,-1,1,3,-2,-2,-1,4,-1,-2,-6
