table_name,column_name,dtype,checkpoint
persons,PUMA,int64,input_pre_processor
persons,ST,int64,input_pre_processor
persons,ENRLL,int64,input_pre_processor
persons,AGEP,int64,input_pre_processor
household_groups,group_id,int32,setup_data_structures
household_groups,sample_weight,int64,setup_data_structures
household_groups,hh_id,int64,setup_data_structures
incidence_table,hh_id,int64,setup_data_structures
incidence_table,HH,int64,setup_data_structures
incidence_table,HHSize1,int64,setup_data_structures
incidence_table,HHSize2,int64,setup_data_structures
incidence_table,HHSize3,int64,setup_data_structures
incidence_table,HHSize4p,int64,setup_data_structures
incidence_table,Income1,int64,setup_data_structures
incidence_table,Income2,int64,setup_data_structures
incidence_table,Income3,int64,setup_data_structures
incidence_table,Income4,int64,setup_data_structures
incidence_table,HHWrk0,int64,setup_data_structures
incidence_table,HHWrk1,int64,setup_data_structures
incidence_table,HHWrk2,int64,setup_data_structures
incidence_table,HHWrk3p,int64,setup_data_structures
incidence_table,HH_Pop,int64,setup_data_structures
incidence_table,PUMA,int64,setup_data_structures
incidence_table,REGION,int64,setup_data_structures
incidence_table,sample_weight,int64,setup_data_structures
incidence_table,group_size,int64,setup_data_structures
incidence_table,group_id,int64,setup_data_structures
PUMA_weights,PUMA,int64,initial_seed_balancing
PUMA_weights,preliminary_balanced_weight,float64,initial_seed_balancing
PUMA_weights,sample_weight,int64,initial_seed_balancing
PUMA_weights,hh_id,int64,initial_seed_balancing
PUMA_weights,balanced_weight,float64,final_seed_balancing
PUMA_weights,integer_weight,int64,integerize_final_seed_weights
TAZ_weights,hh_id,int64,sub_balancing.geography=TAZ
TAZ_weights,TAZ,int64,sub_balancing.geography=TAZ
TAZ_weights,balanced_weight,float64,sub_balancing.geography=TAZ
TAZ_weights,integer_weight,int32,sub_balancing.geography=TAZ
TAZ_weights,PUMA,int64,sub_balancing.geography=TAZ
TAZ_weights,REGION,int64,sub_balancing.geography=TAZ
TAZ_weights_sparse,hh_id,int64,sub_balancing.geography=TAZ
TAZ_weights_sparse,TAZ,int64,sub_balancing.geography=TAZ
TAZ_weights_sparse,balanced_weight,float64,sub_balancing.geography=TAZ
TAZ_weights_sparse,integer_weight,int32,sub_balancing.geography=TAZ
TAZ_weights_sparse,PUMA,int64,sub_balancing.geography=TAZ
TAZ_weights_sparse,REGION,int64,sub_balancing.geography=TAZ
expanded_household_ids,PUMA,int64,expand_households
expanded_household_ids,TAZ,int64,expand_households
expanded_household_ids,hh_id,int32,expand_households
