process_name,model_name,seconds,minutes
MainProcess,input_pre_processor,0.8,0.0
MainProcess,setup_data_structures,0.5,0.0
MainProcess,initial_seed_balancing,19.0,0.3
MainProcess,meta_control_factoring,0.1,0.0
MainProcess,final_seed_balancing,0.1,0.0
MainProcess,integerize_final_seed_weights,0.7,0.0
MainProcess,sub_balancing.geography=TAZ,1830.9,30.5
MainProcess,expand_households,102.9,1.7
MainProcess,write_data_dictionary,1.2,0.0
MainProcess,summarize,16.1,0.3
MainProcess,write_tables,10.0,0.2
MainProcess,write_synthetic_population,42.0,0.7
