geography,id,HH_control,HHSize1_control,HHSize2_control,HHSize3_control,HHSize4p_control,Income1_control,Income2_control,Income3_control,Income4_control,HHWrk0_control,HHWrk1_control,HHWrk2_control,HHWrk3p_control,HH_Pop_control,HH_result,HHSize1_result,HHSize2_result,HHSize3_result,HHSize4p_result,Income1_result,Income2_result,Income3_result,Income4_result,HHWrk0_result,HHWrk1_result,HHWrk2_result,HHWrk3p_result,HH_Pop_result,HH_diff,HHSize1_diff,HHSize2_diff,HHSize3_diff,HHSize4p_diff,Income1_diff,Income2_diff,Income3_diff,Income4_diff,HHWrk0_diff,HHWrk1_diff,HHWrk2_diff,HHWrk3p_diff,HH_Pop_diff
PUMA,2500100,60052.0,23197.0,22478.0,7737.0,6640.0,24479.0,19632.0,10555.0,5386.0,23393.0,19467.0,14436.0,2756.0,124008.0,60052,23205,22473,7735,6639,24475,19635,10554,5388,23393,19472,14427,2760,124030,0.0,8.0,-5.0,-2.0,-1.0,-4.0,3.0,-1.0,2.0,0.0,5.0,-9.0,4.0,22.0
PUMA,2500200,52841.0,18611.0,20992.0,6881.0,6357.0,19651.0,16342.0,9716.0,7132.0,18940.0,16379.0,14728.0,2794.0,109416.0,52841,18604,20987,6885,6365,19648,16343,9719,7131,18941,16380,14729,2791,109421,0.0,-7.0,-5.0,4.0,8.0,-3.0,1.0,3.0,-1.0,1.0,1.0,1.0,-3.0,5.0
PUMA,2500300,79304.0,28889.0,24466.0,11696.0,14253.0,35844.0,24843.0,11791.0,6826.0,28778.0,27589.0,18374.0,4563.0,183707.0,79304,28892,24464,11701,14247,35846,24839,11793,6826,28774,27592,18373,4565,183708,0.0,3.0,-2.0,5.0,-6.0,2.0,-4.0,2.0,0.0,-4.0,3.0,-1.0,2.0,1.0
PUMA,2500301,54179.0,18532.0,21457.0,7408.0,6782.0,22426.0,16645.0,10121.0,4987.0,20589.0,17751.0,13136.0,2703.0,117851.0,54179,18543,21456,7404,6776,22424,16645,10124,4986,20588,17755,13133,2703,117858,0.0,11.0,-1.0,-4.0,-6.0,-2.0,0.0,3.0,-1.0,-1.0,4.0,-3.0,0.0,7.0
PUMA,2500302,58179.0,18723.0,20832.0,8209.0,10415.0,15939.0,18708.0,14033.0,9499.0,17521.0,17658.0,18497.0,4503.0,131152.0,58179,18723,20833,8204,10419,15932,18712,14036,9499,17521,17659,18495,4504,131176,0.0,0.0,1.0,-5.0,4.0,-7.0,4.0,3.0,0.0,0.0,1.0,-2.0,1.0,24.0
PUMA,2500303,58605.0,17637.0,21993.0,8550.0,10425.0,13315.0,16080.0,13356.0,15854.0,15151.0,20030.0,19383.0,4041.0,136345.0,58605,17642,21993,8547,10423,13307,16085,13354,15859,15151,20028,19385,4041,136369,0.0,5.0,0.0,-3.0,-2.0,-8.0,5.0,-2.0,5.0,0.0,-2.0,2.0,0.0,24.0
PUMA,2500304,78483.0,22828.0,31817.0,11107.0,12731.0,22477.0,24575.0,19011.0,12420.0,21585.0,26594.0,24206.0,6098.0,178511.0,78483,22824,31822,11106,12731,22472,24580,19010,12421,21584,26598,24203,6098,178483,0.0,-4.0,5.0,-1.0,0.0,-5.0,5.0,-1.0,1.0,-1.0,4.0,-3.0,0.0,-28.0
PUMA,2500400,48731.0,15037.0,19198.0,6974.0,7522.0,12380.0,14482.0,11591.0,10278.0,12883.0,16180.0,16792.0,2876.0,109183.0,48731,15037,19196,6973,7525,12371,14488,11594,10278,12880,16186,16789,2876,109174,0.0,0.0,-2.0,-1.0,3.0,-9.0,6.0,3.0,0.0,-3.0,6.0,-3.0,0.0,-9.0
PUMA,2500501,51150.0,14314.0,20275.0,7785.0,8776.0,11306.0,12497.0,12341.0,15006.0,13741.0,15717.0,18049.0,3643.0,117677.0,51150,14313,20277,7778,8782,11307,12494,12338,15011,13742,15722,18045,3641,117693,0.0,-1.0,2.0,-7.0,6.0,1.0,-3.0,-3.0,5.0,1.0,5.0,-4.0,-2.0,16.0
PUMA,2500502,42867.0,14200.0,14604.0,6518.0,7545.0,19009.0,12943.0,7344.0,3571.0,15847.0,13475.0,10725.0,2820.0,102964.0,42867,14201,14604,6517,7545,19010,12942,7345,3570,15844,13479,10725,2819,102969,0.0,1.0,0.0,-1.0,0.0,1.0,-1.0,1.0,-1.0,-3.0,4.0,0.0,-1.0,5.0
PUMA,2500503,63893.0,19706.0,22484.0,10363.0,11340.0,15625.0,15597.0,14458.0,18213.0,15007.0,23073.0,21929.0,3884.0,143057.0,63893,19712,22488,10363,11330,15610,15594,14464,18225,15003,23068,21933,3889,143099,0.0,6.0,4.0,0.0,-10.0,-15.0,-3.0,6.0,12.0,-4.0,-5.0,4.0,5.0,42.0
PUMA,2500504,69151.0,22918.0,23180.0,11348.0,11705.0,20185.0,17567.0,14282.0,17117.0,15869.0,24628.0,22959.0,5695.0,161626.0,69151,22910,23177,11349,11715,20168,17571,14288,17124,15866,24626,22963,5696,161651,0.0,-8.0,-3.0,1.0,10.0,-17.0,4.0,6.0,7.0,-3.0,-2.0,4.0,1.0,25.0
PUMA,2500505,63011.0,19762.0,22556.0,10726.0,9967.0,13332.0,15281.0,16962.0,17436.0,14103.0,22656.0,22580.0,3672.0,139103.0,63011,19770,22561,10722,9958,13316,15279,16961,17455,14102,22655,22581,3673,139126,0.0,8.0,5.0,-4.0,-9.0,-16.0,-2.0,-1.0,19.0,-1.0,-1.0,1.0,1.0,23.0
PUMA,2500506,60666.0,19593.0,27520.0,8036.0,5517.0,11576.0,15053.0,12476.0,21561.0,12058.0,23736.0,20967.0,3905.0,124054.0,60666,19580,27515,8043,5528,11573,15050,12475,21568,12054,23733,20965,3914,124066,0.0,-13.0,-5.0,7.0,11.0,-3.0,-3.0,-1.0,7.0,-4.0,-3.0,-2.0,9.0,12.0
PUMA,2500507,64816.0,19825.0,27622.0,8847.0,8522.0,16688.0,22188.0,17199.0,8741.0,13392.0,22171.0,22948.0,6305.0,140206.0,64816,19823,27626,8851,8516,16686,22188,17195,8747,13390,22171,22948,6307,140197,0.0,-2.0,4.0,4.0,-6.0,-2.0,0.0,-4.0,6.0,-2.0,0.0,0.0,2.0,-9.0
