OID_,FID_PUMAs2,STATEFP10,PUMACE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,FID_candidate_CTPS_TAZ_STATEWIDE_2019,OBJECTID_1,id,type,town,state,town_state,mpo,in_brmpo,subregion,Shape_Leng,sector,Shape_Length,Shape_Area,REGION,TAZ,PUMA
219,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4533,4534,5227,I,TOLLAND,MA,"TOLLAND,MA",PVPC,0, ,38696.3683,,0.401512472,0.009240297,1,5227,2501600
221,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4552,4553,5204,I,HAMPDEN,MA,"HAMPDEN,MA",PVPC,0, ,21830.38537,,0.105019876,1.07647E-06,1,5204,2501600
222,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4563,4564,5203,I,MONSON,MA,"MONSON,MA",PVPC,0, ,24993.37432,,0.250827648,0.002605006,1,5203,2501600
223,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4565,4566,5206,I,MONSON,MA,"MONSON,MA",PVPC,0, ,17197.89352,,0.174749976,0.001254837,1,5206,2501600
224,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4566,4567,5207,I,MONSON,MA,"MONSON,MA",PVPC,0, ,5459.259243,,0.054176154,8.32208E-05,1,5207,2501600
226,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4568,4569,5654,I,PALMER,MA,"PALMER,MA",PVPC,0, ,13372.84315,,0.138052509,0.00060249,1,5654,2501600
229,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4598,4599,5228,I,RUSSELL,MA,"RUSSELL,MA",PVPC,0, ,31581.83096,,0.316457039,0.005007279,1,5228,2501600
231,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4606,4607,5234,I,HUNTINGTON,MA,"HUNTINGTON,MA",PVPC,0, ,13870.38476,,0.146899145,0.001049957,1,5234,2501600
233,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4612,4613,5238,I,CHESTER,MA,"CHESTER,MA",PVPC,0, ,37552.68678,,0.393842928,0.010507481,1,5238,2501600
235,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4616,4617,5235,I,MONTGOMERY,MA,"MONTGOMERY,MA",PVPC,0, ,29370.70977,,0.301172257,0.004303863,1,5235,2501600
236,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4619,4620,5226,I,BLANDFORD,MA,"BLANDFORD,MA",PVPC,0, ,46289.52354,,0.487013726,0.015080552,1,5226,2501600
238,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4678,4679,5210,I,PALMER,MA,"PALMER,MA",PVPC,0, ,6645.447623,,0.068284008,0.000229036,1,5210,2501600
239,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4694,4695,5211,I,PALMER,MA,"PALMER,MA",PVPC,0, ,7550.710157,,0.081951977,0.000237789,1,5211,2501600
240,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4695,4696,5215,I,PALMER,MA,"PALMER,MA",PVPC,0, ,11612.48428,,0.127573084,0.000639556,1,5215,2501600
241,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4696,4697,5209,I,PALMER,MA,"PALMER,MA",PVPC,0, ,13137.72662,,0.134071827,0.000629159,1,5209,2501600
242,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4697,4698,5212,I,PALMER,MA,"PALMER,MA",PVPC,0, ,13429.47086,,0.145742275,0.00073611,1,5212,2501600
243,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4698,4699,5213,I,BELCHERTOWN,MA,"BELCHERTOWN,MA",PVPC,0, ,27467.50968,,0.282681266,0.003304091,1,5213,2501600
244,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4699,4700,5655,I,PALMER,MA,"PALMER,MA",PVPC,0, ,6678.783839,,0.065705564,0.00023863,1,5655,2501600
245,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4700,4701,5404,I,WESTHAMPTON,MA,"WESTHAMPTON,MA",PVPC,0, ,34716.94273,,0.353488445,0.007736458,1,5404,2501600
246,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4701,4702,5214,I,PALMER,MA,"PALMER,MA",PVPC,0, ,13379.08476,,0.143670769,0.000722274,1,5214,2501600
247,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4702,4703,5407,I,NORTHAMPTON,MA,"NORTHAMPTON,MA",PVPC,0, ,4171.340791,,0.043129394,7.78952E-05,1,5407,2501600
248,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4703,4704,5656,I,PALMER,MA,"PALMER,MA",PVPC,0, ,7164.32624,,0.077256998,7.02291E-05,1,5656,2501600
249,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4704,4705,5222,I,PALMER,MA,"PALMER,MA",PVPC,0, ,12751.13832,,0.136226358,0.000493544,1,5222,2501600
250,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4705,4706,5408,I,NORTHAMPTON,MA,"NORTHAMPTON,MA",PVPC,0, ,4596.101234,,0.047861186,0.000124614,1,5408,2501600
251,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4706,4707,5239,I,SOUTHAMPTON,MA,"SOUTHAMPTON,MA",PVPC,0, ,26856.36849,,0.293439939,0.002809758,1,5239,2501600
252,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4707,4708,5219,I,LUDLOW,MA,"LUDLOW,MA",PVPC,0, ,25749.19691,,0.157846572,1.7128E-06,1,5219,2501600
253,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4708,4709,5220,I,BELCHERTOWN,MA,"BELCHERTOWN,MA",PVPC,0, ,17791.22433,,0.18720768,0.001154008,1,5220,2501600
254,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4710,4711,5618,I,BELCHERTOWN,MA,"BELCHERTOWN,MA",PVPC,0, ,15264.46168,,0.160419111,0.001016168,1,5618,2501600
256,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4715,4716,5231,I,HADLEY,MA,"HADLEY,MA",PVPC,0, ,22884.37528,,0.237258469,0.002107709,1,5231,2501600
258,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4721,4722,5398,I,NORTHAMPTON,MA,"NORTHAMPTON,MA",PVPC,0, ,30664.70104,,0.325407137,0.00318453,1,5398,2501600
259,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4723,4724,5237,I,HUNTINGTON,MA,"HUNTINGTON,MA",PVPC,0, ,34947.82273,,0.352396474,0.006523631,1,5237,2501600
260,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4726,4727,5240,I,CHESTERFIELD,MA,"CHESTERFIELD,MA",PVPC,0, ,42496.9384,,0.090200126,1.07605E-06,1,5240,2501600
261,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4728,4729,5324,I,SOUTHAMPTON,MA,"SOUTHAMPTON,MA",PVPC,0, ,20845.14394,,0.219820401,0.00195584,1,5324,2501600
265,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4774,4775,5611,I,WILBRAHAM,MA,"WILBRAHAM,MA",PVPC,0, ,22787.92281,,0.087309833,3.48734E-06,1,5611,2501600
269,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4847,4848,5244,I,GRANBY,MA,"GRANBY,MA",PVPC,0, ,23800.19825,,0.248434463,0.002943141,1,5244,2501600
270,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4848,4849,5622,I,BELCHERTOWN,MA,"BELCHERTOWN,MA",PVPC,0, ,18753.67877,,0.196319463,0.001441414,1,5622,2501600
273,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4868,4869,5319,I,SOUTHAMPTON,MA,"SOUTHAMPTON,MA",PVPC,0, ,23594.46761,,0.244560755,0.00229811,1,5319,2501600
