OID_,REGION,TAZ,PUMA
562,1,5271,2501901
564,1,5297,2501901
565,1,5298,2501901
567,1,5302,2501901
568,1,5312,2501901
569,1,5314,2501901
570,1,5300,2501901
573,1,5299,2501901
574,1,5301,2501901
575,1,5342,2501901
576,1,5303,2501901
577,1,5315,2501901
578,1,5375,2501901
579,1,5373,2501901
580,1,5374,2501901
581,1,5367,2501901
582,1,5371,2501901
583,1,5372,2501901
584,1,5376,2501901
585,1,5384,2501901
586,1,5391,2501901
587,1,5422,2501901
588,1,5423,2501901
589,1,5392,2501901
590,1,5393,2501901
591,1,3284,2500301
592,1,3362,2500301
593,1,3365,2500301
594,1,3346,2500301
595,1,3329,2500301
597,1,3394,2500301
602,1,3340,2500301
603,1,3348,2500301
604,1,3345,2500301
605,1,3350,2500301
606,1,3279,2500301
610,1,3351,2500301
613,1,3366,2500301
614,1,3274,2500301
615,1,3275,2500301
617,1,3320,2500301
620,1,3355,2500301
621,1,3349,2500301
622,1,3347,2500301
623,1,3316,2500301
624,1,3356,2500301
625,1,3321,2500301
627,1,3363,2500301
628,1,3314,2500301
629,1,3322,2500301
630,1,3323,2500301
633,1,3364,2500301
635,1,3292,2500301
636,1,3382,2500301
637,1,3381,2500301
638,1,3391,2500301
640,1,3379,2500301
641,1,3378,2500301
642,1,3384,2500301
643,1,3383,2500301
644,1,3295,2500301
645,1,3388,2500301
646,1,3389,2500301
647,1,3280,2500301
648,1,3387,2500301
649,1,3283,2500301
650,1,3285,2500301
651,1,3369,2500301
652,1,3288,2500301
653,1,3286,2500301
654,1,3281,2500301
655,1,3282,2500301
656,1,3359,2500301
657,1,3315,2500301
658,1,3326,2500301
659,1,3327,2500301
660,1,3376,2500301
661,1,3336,2500301
662,1,3357,2500301
663,1,3291,2500301
664,1,3318,2500301
665,1,3325,2500301
666,1,3353,2500301
667,1,3354,2500301
668,1,3324,2500301
669,1,3328,2500301
670,1,3330,2500301
671,1,3331,2500301
672,1,3386,2500301
673,1,3390,2500301
674,1,3352,2500301
675,1,3358,2500301
676,1,3360,2500301
677,1,3361,2500301
678,1,3373,2500301
679,1,3385,2500301
680,1,3272,2500301
681,1,3367,2500301
682,1,3368,2500301
683,1,3371,2500301
684,1,3392,2500301
685,1,3370,2500301
686,1,3372,2500301
687,1,3374,2500301
688,1,3375,2500301
689,1,3377,2500301
690,1,3380,2500301
691,1,3393,2500301
692,1,2089,2500502
694,1,2092,2500502
695,1,2095,2500502
696,1,2098,2500502
699,1,2081,2500502
710,1,2119,2500502
711,1,2118,2500502
713,1,2102,2500502
714,1,2127,2500502
718,1,2082,2500502
719,1,2083,2500502
720,1,2128,2500502
721,1,2120,2500502
722,1,2114,2500502
723,1,2100,2500502
725,1,2099,2500502
726,1,2097,2500502
727,1,2113,2500502
728,1,2085,2500502
729,1,2094,2500502
730,1,2091,2500502
731,1,2093,2500502
732,1,2088,2500502
733,1,2087,2500502
734,1,2086,2500502
735,1,2125,2500502
736,1,2123,2500502
737,1,2126,2500502
738,1,2122,2500502
739,1,2121,2500502
740,1,2117,2500502
741,1,2090,2500502
742,1,2110,2500502
743,1,2124,2500502
744,1,2112,2500502
745,1,2115,2500502
746,1,2107,2500502
747,1,2116,2500502
748,1,2105,2500502
749,1,2106,2500502
750,1,2103,2500502
751,1,2101,2500502
752,1,2096,2500502
753,1,2104,2500502
754,1,2109,2500502
755,1,2108,2500502
756,1,2084,2500502
758,1,2111,2500502
760,1,1297,2501300
765,1,1362,2501300
767,1,1337,2501300
769,1,1336,2501300
772,1,1324,2501300
775,1,1338,2501300
776,1,1342,2501300
779,1,1341,2501300
780,1,1320,2501300
781,1,2150,2501300
783,1,1363,2501300
784,1,1356,2501300
785,1,1353,2501300
786,1,1357,2501300
787,1,1352,2501300
788,1,1360,2501300
789,1,1358,2501300
790,1,1340,2501300
791,1,1359,2501300
792,1,1334,2501300
793,1,1339,2501300
794,1,1328,2501300
795,1,1332,2501300
796,1,1333,2501300
797,1,1331,2501300
798,1,1326,2501300
799,1,1335,2501300
800,1,1323,2501300
801,1,1321,2501300
802,1,1319,2501300
803,1,1317,2501300
804,1,1318,2501300
805,1,1354,2501300
807,1,1325,2501300
808,1,1346,2501300
809,1,1322,2501300
812,1,1285,2501300
814,1,1347,2501300
815,1,1349,2501300
816,1,1345,2501300
817,1,1401,2501300
818,1,1348,2501300
819,1,1343,2501300
820,1,1351,2501300
821,1,1350,2501300
822,1,1344,2501300
823,1,1293,2501300
824,1,1296,2501300
825,1,1327,2501300
826,1,1298,2501300
827,1,1402,2501300
828,1,1400,2501300
829,1,1389,2501300
830,1,1292,2501300
831,1,1291,2501300
832,1,1290,2501300
833,1,1289,2501300
834,1,1288,2501300
835,1,1294,2501300
837,1,1388,2501300
842,1,1287,2501300
844,1,1286,2501300
845,1,1295,2501300
852,1,1387,2501300
855,1,1392,2501300
856,1,1394,2501300
861,1,1410,2501300
862,1,1409,2501300
867,1,1395,2501300
868,1,1413,2501300
869,1,1408,2501300
870,1,1411,2501300
872,1,1393,2501300
873,1,1399,2501300
874,1,1398,2501300
875,1,1391,2501300
876,1,1390,2501300
877,1,1403,2501300
878,1,1405,2501300
879,1,1329,2501300
880,1,1397,2501300
881,1,1330,2501300
882,1,1396,2501300
883,1,1404,2501300
884,1,1355,2501300
885,1,1361,2501300
886,1,1407,2501300
887,1,1406,2501300
888,1,1412,2501300
891,1,760,2500704
895,1,784,2500704
896,1,794,2500704
897,1,785,2500704
899,1,795,2500704
900,1,790,2500704
901,1,787,2500704
902,1,786,2500704
905,1,791,2500704
906,1,789,2500704
907,1,788,2500704
909,1,771,2500704
910,1,793,2500704
911,1,770,2500704
912,1,782,2500704
913,1,783,2500704
914,1,766,2500704
915,1,768,2500704
916,1,758,2500704
917,1,792,2500704
918,1,774,2500704
919,1,767,2500704
920,1,757,2500704
921,1,765,2500704
924,1,1140,2500704
925,1,773,2500704
927,1,777,2500704
928,1,772,2500704
929,1,769,2500704
930,1,759,2500704
931,1,756,2500704
932,1,779,2500704
933,1,762,2500704
934,1,761,2500704
935,1,780,2500704
936,1,764,2500704
937,1,763,2500704
938,1,1136,2500704
940,1,781,2500704
941,1,1137,2500704
942,1,1134,2500704
943,1,1135,2500704
944,1,1133,2500704
945,1,1138,2500704
946,1,1139,2500704
948,1,775,2500704
949,1,776,2500704
950,1,778,2500704
951,1,463,2503306
952,1,458,2503306
953,1,499,2503306
959,1,501,2503306
961,1,465,2503306
963,1,797,2503306
964,1,796,2503306
965,1,500,2503306
967,1,462,2503306
968,1,492,2503306
969,1,489,2503306
970,1,469,2503306
971,1,460,2503306
973,1,456,2503306
976,1,455,2503306
977,1,466,2503306
978,1,467,2503306
979,1,491,2503306
980,1,468,2503306
982,1,464,2503306
983,1,488,2503306
984,1,477,2503306
985,1,471,2503306
986,1,461,2503306
987,1,481,2503306
988,1,490,2503306
989,1,470,2503306
990,1,457,2503306
991,1,498,2503306
992,1,497,2503306
993,1,487,2503306
995,1,478,2503306
996,1,496,2503306
997,1,479,2503306
999,1,484,2503306
1000,1,495,2503306
1001,1,473,2503306
1002,1,472,2503306
1003,1,475,2503306
1004,1,474,2503306
1005,1,476,2503306
1006,1,399,2503306
1007,1,397,2503306
1008,1,483,2503306
1009,1,396,2503306
1010,1,398,2503306
1011,1,448,2503306
1012,1,449,2503306
1013,1,454,2503306
1014,1,450,2503306
1015,1,480,2503306
1016,1,485,2503306
1017,1,486,2503306
1018,1,482,2503306
1019,1,494,2503306
1021,1,451,2503306
1022,1,459,2503306
1023,1,452,2503306
1024,1,453,2503306
1025,1,493,2503306
1026,1,94,2503302
1028,1,19,2503302
1029,1,80,2503302
1030,1,88,2503302
1031,1,77,2503302
1032,1,15,2503302
1033,1,69,2503302
1034,1,75,2503302
1035,1,81,2503302
1036,1,65,2503302
1037,1,17,2503302
1038,1,18,2503302
1041,1,106,2503302
1042,1,105,2503302
1043,1,14,2503302
1044,1,85,2503302
1045,1,33,2503302
1046,1,110,2503302
1047,1,117,2503302
1048,1,122,2503302
1049,1,127,2503302
1050,1,128,2503302
1051,1,315,2503302
1052,1,52,2503302
1053,1,63,2503302
1054,1,70,2503302
1055,1,76,2503302
1056,1,66,2503302
1057,1,16,2503302
1059,1,24,2503302
1060,1,30,2503302
1061,1,93,2503302
1062,1,108,2503302
1063,1,109,2503302
1064,1,95,2503302
1065,1,104,2503302
1066,1,103,2503302
1067,1,111,2503302
1068,1,112,2503302
1069,1,118,2503302
1070,1,123,2503302
1071,1,125,2503302
1072,1,126,2503302
1073,1,50,2503302
