process,pid,rss,full_rss,uss,event,children,time
MainProcess,37320,100_265_984,100_265_984,69_713_920,pipeline.run before preload_injectables,0,2022/05/31 15:14:48.475827
MainProcess,37320,100_601_856,100_601_856,69_713_920,pipeline.run after preload_injectables,0,2022/05/31 15:14:48.494112
MainProcess,37320,100_630_528,100_630_528,69_718_016,pipeline.run_model input_pre_processor start,0,2022/05/31 15:14:48.508632
MainProcess,37320,148_381_696,148_381_696,117_665_792,pipeline.run_model input_pre_processor finished,0,2022/05/31 15:14:48.907038
MainProcess,37320,160_886_784,160_886_784,130_068_480,pipeline.run after input_pre_processor,0,2022/05/31 15:14:49.313638
MainProcess,37320,161_431_552,161_431_552,130_088_960,pipeline.run_model setup_data_structures start,0,2022/05/31 15:14:49.339319
MainProcess,37320,163_901_440,163_901_440,132_902_912,pipeline.run_model setup_data_structures finished,0,2022/05/31 15:14:49.680271
MainProcess,37320,167_632_896,167_632_896,135_770_112,pipeline.run after setup_data_structures,0,2022/05/31 15:14:49.930769
MainProcess,37320,167_636_992,167_636_992,135_770_112,pipeline.run_model initial_seed_balancing start,0,2022/05/31 15:14:49.949218
MainProcess,37320,165_699_584,165_699_584,134_799_360,pipeline.run_model initial_seed_balancing finished,0,2022/05/31 15:15:09.934111
MainProcess,37320,167_178_240,167_178_240,135_278_592,pipeline.run after initial_seed_balancing,0,2022/05/31 15:15:09.971732
MainProcess,37320,167_186_432,167_186_432,135_278_592,pipeline.run_model meta_control_factoring start,0,2022/05/31 15:15:09.991759
MainProcess,37320,167_432_192,167_432_192,135_524_352,pipeline.run_model meta_control_factoring finished,0,2022/05/31 15:15:10.030958
MainProcess,37320,167_432_192,167_432_192,135_524_352,pipeline.run after meta_control_factoring,0,2022/05/31 15:15:10.067638
MainProcess,37320,167_432_192,167_432_192,135_524_352,pipeline.run_model final_seed_balancing start,0,2022/05/31 15:15:10.095505
MainProcess,37320,167_456_768,167_456_768,135_548_928,pipeline.run_model final_seed_balancing finished,0,2022/05/31 15:15:10.116237
MainProcess,37320,167_682_048,167_682_048,136_036_352,pipeline.run after final_seed_balancing,0,2022/05/31 15:15:10.154062
MainProcess,37320,167_944_192,167_944_192,136_036_352,pipeline.run_model integerize_final_seed_weights start,0,2022/05/31 15:15:10.172810
MainProcess,37320,171_819_008,171_819_008,137_867_264,pipeline.run_model integerize_final_seed_weights finished,0,2022/05/31 15:15:10.882260
MainProcess,37320,171_307_008,171_307_008,136_826_880,pipeline.run after integerize_final_seed_weights,0,2022/05/31 15:15:10.919144
MainProcess,37320,171_307_008,171_307_008,136_826_880,pipeline.run_model sub_balancing.geography=TAZ start,0,2022/05/31 15:15:10.938572
MainProcess,37320,225_906_688,225_906_688,182_398_976,pipeline.run_model sub_balancing.geography=TAZ finished,0,2022/05/31 15:47:55.143937
MainProcess,37320,227_794_944,227_794_944,183_480_320,pipeline.run after sub_balancing.geography=TAZ,0,2022/05/31 15:47:55.300581
MainProcess,37320,227_794_944,227_794_944,183_480_320,pipeline.run_model expand_households start,0,2022/05/31 15:47:55.317274
MainProcess,37320,338_452_480,338_452_480,296_361_984,pipeline.run_model expand_households finished,0,2022/05/31 15:49:32.808799
MainProcess,37320,339_197_952,339_197_952,296_108_032,pipeline.run after expand_households,0,2022/05/31 15:49:33.184933
MainProcess,37320,339_197_952,339_197_952,296_108_032,pipeline.run_model write_data_dictionary start,0,2022/05/31 15:49:33.217979
MainProcess,37320,352_055_296,352_055_296,308_817_920,pipeline.run_model write_data_dictionary finished,0,2022/05/31 15:49:34.163905
MainProcess,37320,352_059_392,352_059_392,308_817_920,pipeline.run after write_data_dictionary,0,2022/05/31 15:49:34.209377
MainProcess,37320,352_059_392,352_059_392,308_817_920,pipeline.run_model summarize start,0,2022/05/31 15:49:34.231798
MainProcess,37320,343_486_464,343_486_464,301_244_416,pipeline.run_model summarize finished,0,2022/05/31 15:49:49.116162
MainProcess,37320,347_963_392,347_963_392,304_721_920,pipeline.run after summarize,0,2022/05/31 15:49:49.218435
MainProcess,37320,347_963_392,347_963_392,304_721_920,pipeline.run_model write_tables start,0,2022/05/31 15:49:49.234582
MainProcess,37320,350_945_280,350_945_280,307_703_808,pipeline.run_model write_tables finished,0,2022/05/31 15:49:58.400921
MainProcess,37320,350_945_280,350_945_280,307_703_808,pipeline.run after write_tables,0,2022/05/31 15:49:58.457802
MainProcess,37320,350_945_280,350_945_280,307_703_808,pipeline.run_model write_synthetic_population start,0,2022/05/31 15:49:58.475663
MainProcess,37320,352_894_976,352_894_976,309_637_120,pipeline.run_model write_synthetic_population finished,0,2022/05/31 15:50:37.585216
MainProcess,37320,352_894_976,352_894_976,309_637_120,pipeline.run after write_synthetic_population,0,2022/05/31 15:50:37.636743
MainProcess,37320,352_894_976,352_894_976,309_637_120,pipeline.run after run_models,0,2022/05/31 15:50:37.660928
