process,pid,rss,full_rss,uss,event,children,time
MainProcess,44904,100_265_984,100_265_984,69_783_552,pipeline.run before preload_injectables,0,2022/05/25 16:07:20.493255
MainProcess,44904,100_663_296,100_663_296,69_783_552,pipeline.run after preload_injectables,0,2022/05/25 16:07:20.520736
MainProcess,44904,100_687_872,100_687_872,69_783_552,pipeline.run_model input_pre_processor start,0,2022/05/25 16:07:20.537578
MainProcess,44904,147_398_656,147_398_656,116_359_168,pipeline.run_model input_pre_processor finished,0,2022/05/25 16:07:20.936329
MainProcess,44904,160_468_992,160_468_992,129_724_416,pipeline.run after input_pre_processor,0,2022/05/25 16:07:21.343927
MainProcess,44904,161_079_296,161_079_296,129_744_896,pipeline.run_model setup_data_structures start,0,2022/05/25 16:07:21.356387
MainProcess,44904,162_910_208,162_910_208,131_567_616,pipeline.run_model setup_data_structures finished,0,2022/05/25 16:07:21.551802
MainProcess,44904,164_265_984,164_265_984,132_378_624,pipeline.run after setup_data_structures,0,2022/05/25 16:07:21.818973
MainProcess,44904,164_278_272,164_278_272,132_390_912,pipeline.run_model initial_seed_balancing start,0,2022/05/25 16:07:21.835446
MainProcess,44904,164_663_296,164_663_296,132_734_976,pipeline.run_model initial_seed_balancing finished,0,2022/05/25 16:07:22.140747
MainProcess,44904,164_671_488,164_671_488,132_743_168,pipeline.run after initial_seed_balancing,0,2022/05/25 16:07:22.170500
MainProcess,44904,164_671_488,164_671_488,132_743_168,pipeline.run_model meta_control_factoring start,0,2022/05/25 16:07:22.204522
MainProcess,44904,164_671_488,164_671_488,132_743_168,pipeline.run_model meta_control_factoring finished,0,2022/05/25 16:07:22.221499
MainProcess,44904,164_675_584,164_675_584,132_747_264,pipeline.run after meta_control_factoring,0,2022/05/25 16:07:22.235572
MainProcess,44904,164_675_584,164_675_584,132_747_264,pipeline.run_model final_seed_balancing start,0,2022/05/25 16:07:22.266882
MainProcess,44904,164_675_584,164_675_584,132_747_264,pipeline.run_model final_seed_balancing finished,0,2022/05/25 16:07:22.275475
MainProcess,44904,164_671_488,164_671_488,133_275_648,pipeline.run after final_seed_balancing,0,2022/05/25 16:07:22.326028
MainProcess,44904,165_203_968,165_203_968,133_275_648,pipeline.run_model integerize_final_seed_weights start,0,2022/05/25 16:07:22.338952
MainProcess,44904,168_235_008,168_235_008,134_479_872,pipeline.run_model integerize_final_seed_weights finished,0,2022/05/25 16:07:22.790171
MainProcess,44904,167_702_528,167_702_528,133_431_296,pipeline.run after integerize_final_seed_weights,0,2022/05/25 16:07:22.829036
MainProcess,44904,167_702_528,167_702_528,133_431_296,pipeline.run_model sub_balancing.geography=TAZ start,0,2022/05/25 16:07:22.838175
MainProcess,44904,174_071_808,174_071_808,140_247_040,pipeline.run_model sub_balancing.geography=TAZ finished,0,2022/05/25 16:07:41.006947
MainProcess,44904,174_596_096,174_596_096,140_247_040,pipeline.run after sub_balancing.geography=TAZ,0,2022/05/25 16:07:41.069962
MainProcess,44904,174_596_096,174_596_096,140_247_040,pipeline.run_model expand_households start,0,2022/05/25 16:07:41.097646
MainProcess,44904,284_155_904,284_155_904,243_388_416,pipeline.run_model expand_households finished,0,2022/05/25 16:20:48.519180
MainProcess,44904,285_712_384,285_712_384,244_789_248,pipeline.run after expand_households,0,2022/05/25 16:20:48.890559
MainProcess,44904,286_007_296,286_007_296,244_789_248,pipeline.run_model write_data_dictionary start,0,2022/05/25 16:20:48.921868
MainProcess,44904,287_870_976,287_870_976,246_497_280,pipeline.run_model write_data_dictionary finished,0,2022/05/25 16:20:49.738472
MainProcess,44904,287_870_976,287_870_976,246_497_280,pipeline.run after write_data_dictionary,0,2022/05/25 16:20:49.771972
MainProcess,44904,287_870_976,287_870_976,246_497_280,pipeline.run_model summarize start,0,2022/05/25 16:20:49.799151
MainProcess,44904,287_813_632,287_813_632,246_870_016,pipeline.run_model summarize finished,0,2022/05/25 16:20:52.908838
MainProcess,44904,290_410_496,290_410_496,249_028_608,pipeline.run after summarize,0,2022/05/25 16:20:52.984130
MainProcess,44904,290_410_496,290_410_496,249_028_608,pipeline.run_model write_tables start,0,2022/05/25 16:20:53.018146
MainProcess,44904,291_471_360,291_471_360,250_089_472,pipeline.run_model write_tables finished,0,2022/05/25 16:21:00.444294
MainProcess,44904,291_471_360,291_471_360,250_089_472,pipeline.run after write_tables,0,2022/05/25 16:21:00.478410
MainProcess,44904,291_471_360,291_471_360,250_089_472,pipeline.run_model write_synthetic_population start,0,2022/05/25 16:21:00.500616
MainProcess,44904,291_463_168,291_463_168,250_609_664,pipeline.run_model write_synthetic_population finished,0,2022/05/25 16:21:33.202861
MainProcess,44904,291_995_648,291_995_648,250_613_760,pipeline.run after write_synthetic_population,0,2022/05/25 16:21:33.252478
MainProcess,44904,291_995_648,291_995_648,250_613_760,pipeline.run after run_models,0,2022/05/25 16:21:33.268463
