geography,id,HH_control,HH_result,HH_diff
TAZ,294,1880.0,1546,-334.0
TAZ,295,287.0,236,-51.0
TAZ,296,1305.0,1073,-232.0
TAZ,297,711.0,1167,456.0
TAZ,298,269.0,443,174.0
TAZ,299,709.0,1164,455.0
TAZ,300,852.0,1399,547.0
TAZ,301,902.0,742,-160.0
TAZ,302,1059.0,867,-192.0
TAZ,303,1262.0,1033,-229.0
TAZ,304,1027.0,841,-186.0
TAZ,305,1335.0,1093,-242.0
TAZ,306,831.0,681,-150.0
TAZ,307,924.0,757,-167.0
TAZ,308,1165.0,954,-211.0
TAZ,309,1695.0,1388,-307.0
TAZ,310,120.0,99,-21.0
TAZ,311,678.0,555,-123.0
TAZ,312,1230.0,2181,951.0
TAZ,313,1757.0,3115,1358.0
TAZ,314,1050.0,1862,812.0
TAZ,315,266.0,472,206.0
TAZ,316,251.0,207,-44.0
TAZ,317,970.0,798,-172.0
TAZ,318,39.0,39,0.0
TAZ,319,772.0,635,-137.0
TAZ,320,1368.0,1125,-243.0
TAZ,321,653.0,537,-116.0
TAZ,322,985.0,810,-175.0
TAZ,323,1397.0,1149,-248.0
TAZ,324,228.0,188,-40.0
TAZ,325,1055.0,868,-187.0
TAZ,326,1028.0,845,-183.0
TAZ,327,719.0,591,-128.0
TAZ,328,1255.0,1032,-223.0
TAZ,329,983.0,808,-175.0
TAZ,330,1202.0,988,-214.0
TAZ,331,692.0,569,-123.0
TAZ,332,832.0,684,-148.0
TAZ,333,2051.0,1686,-365.0
TAZ,334,1620.0,1332,-288.0
TAZ,335,937.0,771,-166.0
TAZ,336,911.0,749,-162.0
TAZ,337,807.0,664,-143.0
TAZ,338,1523.0,1252,-271.0
TAZ,339,1030.0,847,-183.0
TAZ,340,1745.0,1435,-310.0
TAZ,341,1342.0,1103,-239.0
TAZ,342,1364.0,1121,-243.0
TAZ,343,1175.0,962,-213.0
TAZ,344,1390.0,2281,891.0
TAZ,345,1072.0,878,-194.0
TAZ,346,3.0,3,0.0
TAZ,347,843.0,690,-153.0
TAZ,348,1353.0,1108,-245.0
TAZ,349,4.0,4,0.0
TAZ,350,699.0,575,-124.0
TAZ,351,578.0,474,-104.0
TAZ,352,682.0,561,-121.0
TAZ,353,917.0,917,0.0
TAZ,354,1783.0,1783,0.0
TAZ,355,184.0,184,0.0
TAZ,356,1499.0,1499,0.0
TAZ,358,652.0,652,0.0
TAZ,359,762.0,762,0.0
TAZ,360,789.0,789,0.0
TAZ,361,1116.0,1116,0.0
TAZ,362,1044.0,1044,0.0
TAZ,363,1154.0,1154,0.0
TAZ,364,1232.0,1232,0.0
TAZ,365,1193.0,1193,0.0
TAZ,366,1420.0,1167,-253.0
TAZ,367,954.0,954,0.0
TAZ,368,970.0,970,0.0
TAZ,369,1309.0,1309,0.0
TAZ,370,1668.0,3039,1371.0
TAZ,371,1637.0,1346,-291.0
TAZ,372,1182.0,972,-210.0
TAZ,373,1182.0,972,-210.0
TAZ,374,718.0,718,0.0
TAZ,375,644.0,644,0.0
TAZ,376,392.0,392,0.0
TAZ,377,327.0,327,0.0
TAZ,378,352.0,352,0.0
TAZ,379,1377.0,1132,-245.0
TAZ,380,1113.0,1113,0.0
TAZ,381,837.0,837,0.0
TAZ,382,999.0,999,0.0
TAZ,383,1317.0,1317,0.0
TAZ,384,1108.0,1108,0.0
TAZ,385,1168.0,1168,0.0
TAZ,386,1112.0,1112,0.0
TAZ,387,444.0,444,0.0
TAZ,388,1122.0,923,-199.0
TAZ,389,1546.0,2817,1271.0
TAZ,390,952.0,952,0.0
TAZ,391,906.0,906,0.0
TAZ,392,1450.0,1450,0.0
TAZ,393,1174.0,1174,0.0
TAZ,394,1225.0,1225,0.0
TAZ,395,1176.0,1176,0.0
TAZ,400,1236.0,2252,1016.0
TAZ,401,897.0,897,0.0
TAZ,402,1009.0,1839,830.0
TAZ,403,1108.0,911,-197.0
TAZ,404,1297.0,1066,-231.0
TAZ,405,1260.0,1036,-224.0
TAZ,406,1085.0,1780,695.0
TAZ,407,620.0,510,-110.0
TAZ,408,1386.0,2275,889.0
TAZ,409,1387.0,2276,889.0
TAZ,410,1289.0,1055,-234.0
TAZ,411,814.0,667,-147.0
TAZ,412,1025.0,839,-186.0
TAZ,413,1612.0,1320,-292.0
TAZ,414,1021.0,836,-185.0
TAZ,415,1148.0,940,-208.0
TAZ,416,1554.0,1272,-282.0
TAZ,417,1202.0,984,-218.0
TAZ,418,1362.0,1115,-247.0
TAZ,419,981.0,803,-178.0
TAZ,420,1093.0,895,-198.0
TAZ,421,1402.0,1148,-254.0
TAZ,422,2616.0,2141,-475.0
TAZ,423,1345.0,1101,-244.0
TAZ,424,1062.0,870,-192.0
TAZ,425,1063.0,870,-193.0
TAZ,426,1406.0,1151,-255.0
TAZ,427,1697.0,1389,-308.0
TAZ,428,1128.0,924,-204.0
TAZ,429,651.0,533,-118.0
TAZ,430,1063.0,870,-193.0
TAZ,431,1689.0,1383,-306.0
TAZ,432,2072.0,1696,-376.0
TAZ,433,806.0,660,-146.0
TAZ,434,1287.0,1054,-233.0
TAZ,435,1066.0,873,-193.0
TAZ,436,939.0,769,-170.0
TAZ,437,504.0,413,-91.0
TAZ,438,1319.0,1080,-239.0
TAZ,439,1191.0,975,-216.0
TAZ,440,925.0,758,-167.0
TAZ,441,1149.0,941,-208.0
TAZ,442,848.0,694,-154.0
TAZ,443,993.0,813,-180.0
TAZ,444,1387.0,1136,-251.0
TAZ,445,358.0,293,-65.0
TAZ,446,298.0,244,-54.0
TAZ,447,1280.0,1048,-232.0
TAZ,448,1315.0,2440,1125.0
TAZ,449,1108.0,948,-160.0
TAZ,450,1773.0,1516,-257.0
TAZ,451,1232.0,2226,994.0
TAZ,452,1185.0,1013,-172.0
TAZ,453,962.0,823,-139.0
TAZ,454,1835.0,1569,-266.0
TAZ,455,138.0,118,-20.0
TAZ,456,340.0,291,-49.0
TAZ,457,868.0,742,-126.0
TAZ,458,399.0,342,-57.0
TAZ,459,735.0,629,-106.0
TAZ,460,726.0,621,-105.0
TAZ,461,909.0,777,-132.0
TAZ,462,1144.0,978,-166.0
TAZ,463,846.0,724,-122.0
TAZ,464,130.0,112,-18.0
TAZ,467,178.0,153,-25.0
TAZ,468,1131.0,967,-164.0
TAZ,469,870.0,744,-126.0
TAZ,470,488.0,418,-70.0
TAZ,471,1092.0,934,-158.0
TAZ,472,900.0,770,-130.0
TAZ,473,695.0,595,-100.0
TAZ,474,1160.0,992,-168.0
TAZ,475,1023.0,875,-148.0
TAZ,476,958.0,819,-139.0
TAZ,477,1097.0,938,-159.0
TAZ,478,1818.0,1554,-264.0
TAZ,479,1083.0,926,-157.0
TAZ,480,795.0,1436,641.0
TAZ,481,304.0,550,246.0
TAZ,482,794.0,679,-115.0
TAZ,483,1608.0,1375,-233.0
TAZ,484,643.0,550,-93.0
TAZ,485,42.0,36,-6.0
TAZ,486,152.0,130,-22.0
TAZ,487,862.0,737,-125.0
TAZ,488,1244.0,1064,-180.0
TAZ,489,950.0,813,-137.0
TAZ,490,1662.0,1421,-241.0
TAZ,491,1849.0,1581,-268.0
TAZ,492,970.0,830,-140.0
TAZ,493,1077.0,921,-156.0
TAZ,494,1192.0,2211,1019.0
TAZ,495,1714.0,1466,-248.0
TAZ,496,1582.0,1353,-229.0
TAZ,497,1024.0,876,-148.0
TAZ,498,1232.0,1054,-178.0
TAZ,499,417.0,357,-60.0
TAZ,500,877.0,1595,718.0
TAZ,501,1272.0,1088,-184.0
TAZ,502,703.0,695,-8.0
TAZ,503,390.0,386,-4.0
TAZ,504,657.0,650,-7.0
TAZ,505,726.0,718,-8.0
TAZ,506,1782.0,1761,-21.0
TAZ,507,1354.0,1338,-16.0
TAZ,508,1794.0,1773,-21.0
TAZ,509,1139.0,1126,-13.0
TAZ,510,817.0,808,-9.0
TAZ,511,1224.0,1210,-14.0
TAZ,512,908.0,898,-10.0
TAZ,513,1137.0,1124,-13.0
TAZ,514,1073.0,1061,-12.0
TAZ,515,1685.0,1665,-20.0
TAZ,516,1443.0,1426,-17.0
TAZ,517,524.0,518,-6.0
TAZ,518,1066.0,1054,-12.0
TAZ,519,1136.0,1123,-13.0
TAZ,520,478.0,478,0.0
TAZ,521,850.0,850,0.0
TAZ,522,942.0,942,0.0
TAZ,523,804.0,804,0.0
TAZ,524,1306.0,1306,0.0
TAZ,525,1675.0,1675,0.0
TAZ,526,1429.0,1429,0.0
TAZ,527,2.0,2,0.0
TAZ,529,1107.0,1107,0.0
TAZ,530,567.0,567,0.0
TAZ,531,658.0,658,0.0
TAZ,532,1259.0,1259,0.0
TAZ,533,1391.0,1391,0.0
TAZ,534,938.0,938,0.0
TAZ,535,1366.0,1366,0.0
TAZ,536,1441.0,1441,0.0
TAZ,537,414.0,414,0.0
TAZ,538,1462.0,1462,0.0
TAZ,539,726.0,726,0.0
TAZ,540,1350.0,1350,0.0
TAZ,541,983.0,983,0.0
TAZ,542,1089.0,1089,0.0
TAZ,543,1203.0,1203,0.0
TAZ,544,882.0,882,0.0
TAZ,545,1084.0,1084,0.0
TAZ,546,1504.0,1504,0.0
TAZ,547,1043.0,1043,0.0
TAZ,548,994.0,994,0.0
TAZ,549,1109.0,1109,0.0
TAZ,550,1736.0,1736,0.0
TAZ,551,234.0,234,0.0
TAZ,552,1028.0,1028,0.0
TAZ,553,1379.0,1379,0.0
TAZ,554,674.0,674,0.0
TAZ,555,293.0,293,0.0
TAZ,556,1490.0,1490,0.0
TAZ,557,914.0,914,0.0
TAZ,558,854.0,854,0.0
TAZ,559,747.0,747,0.0
TAZ,560,972.0,972,0.0
TAZ,561,908.0,908,0.0
TAZ,562,844.0,844,0.0
TAZ,565,764.0,764,0.0
TAZ,566,1836.0,1836,0.0
TAZ,567,1384.0,1384,0.0
TAZ,568,1205.0,1205,0.0
TAZ,569,1306.0,1306,0.0
TAZ,570,1312.0,1312,0.0
TAZ,571,1556.0,1556,0.0
TAZ,572,1312.0,1312,0.0
TAZ,573,1042.0,1042,0.0
TAZ,574,994.0,994,0.0
TAZ,575,1370.0,1370,0.0
TAZ,576,1074.0,1074,0.0
TAZ,577,1160.0,1160,0.0
TAZ,578,705.0,705,0.0
TAZ,579,777.0,1545,768.0
TAZ,580,781.0,772,-9.0
TAZ,581,143.0,142,-1.0
TAZ,582,1038.0,1026,-12.0
TAZ,583,976.0,965,-11.0
TAZ,584,1584.0,1566,-18.0
TAZ,585,935.0,924,-11.0
TAZ,586,1041.0,1029,-12.0
TAZ,587,838.0,828,-10.0
TAZ,588,923.0,912,-11.0
TAZ,589,1366.0,1350,-16.0
TAZ,590,710.0,702,-8.0
TAZ,591,704.0,696,-8.0
TAZ,592,219.0,217,-2.0
TAZ,593,1204.0,1190,-14.0
TAZ,594,1228.0,1214,-14.0
TAZ,596,597.0,590,-7.0
TAZ,597,762.0,753,-9.0
TAZ,598,969.0,958,-11.0
TAZ,599,1024.0,1012,-12.0
TAZ,600,1698.0,1678,-20.0
TAZ,601,1184.0,1170,-14.0
TAZ,602,1186.0,1172,-14.0
TAZ,603,475.0,470,-5.0
TAZ,604,86.0,85,-1.0
TAZ,605,1378.0,1362,-16.0
TAZ,606,1548.0,1530,-18.0
TAZ,607,1746.0,1726,-20.0
TAZ,608,465.0,460,-5.0
TAZ,609,110.0,109,-1.0
TAZ,610,1214.0,1200,-14.0
TAZ,611,1120.0,1107,-13.0
TAZ,612,1011.0,999,-12.0
TAZ,613,1685.0,1665,-20.0
TAZ,614,1676.0,1656,-20.0
TAZ,615,1849.0,1827,-22.0
TAZ,616,1103.0,1090,-13.0
TAZ,617,828.0,819,-9.0
TAZ,618,1012.0,1000,-12.0
TAZ,619,899.0,889,-10.0
TAZ,620,1337.0,1321,-16.0
TAZ,621,431.0,426,-5.0
TAZ,622,1426.0,1409,-17.0
TAZ,623,930.0,919,-11.0
TAZ,624,1042.0,1030,-12.0
TAZ,625,3236.0,3236,0.0
TAZ,626,166.0,166,0.0
TAZ,627,162.0,162,0.0
TAZ,628,180.0,180,0.0
TAZ,629,715.0,715,0.0
TAZ,630,452.0,452,0.0
TAZ,631,379.0,379,0.0
TAZ,632,986.0,986,0.0
TAZ,633,108.0,108,0.0
TAZ,634,544.0,544,0.0
TAZ,635,323.0,323,0.0
TAZ,636,598.0,598,0.0
TAZ,637,402.0,402,0.0
TAZ,638,1790.0,1790,0.0
TAZ,639,295.0,295,0.0
TAZ,640,290.0,290,0.0
TAZ,642,708.0,708,0.0
TAZ,644,86.0,86,0.0
TAZ,646,1031.0,1031,0.0
TAZ,647,690.0,690,0.0
TAZ,648,592.0,592,0.0
TAZ,649,633.0,633,0.0
TAZ,650,405.0,405,0.0
TAZ,651,1113.0,1113,0.0
TAZ,653,1355.0,1355,0.0
TAZ,654,422.0,422,0.0
TAZ,655,20.0,20,0.0
TAZ,656,554.0,554,0.0
TAZ,657,2.0,2,0.0
TAZ,658,222.0,222,0.0
TAZ,659,46.0,46,0.0
TAZ,660,543.0,543,0.0
TAZ,661,453.0,453,0.0
TAZ,662,899.0,899,0.0
TAZ,663,694.0,694,0.0
TAZ,664,247.0,247,0.0
TAZ,665,899.0,899,0.0
TAZ,666,1430.0,1430,0.0
TAZ,667,1194.0,1194,0.0
TAZ,668,479.0,955,476.0
TAZ,669,585.0,585,0.0
TAZ,670,822.0,822,0.0
TAZ,671,510.0,510,0.0
TAZ,672,1030.0,1030,0.0
TAZ,673,632.0,632,0.0
TAZ,674,1383.0,1383,0.0
TAZ,675,1199.0,1199,0.0
TAZ,676,878.0,878,0.0
TAZ,677,408.0,408,0.0
TAZ,678,960.0,960,0.0
TAZ,679,174.0,174,0.0
TAZ,680,646.0,646,0.0
TAZ,681,575.0,575,0.0
TAZ,682,614.0,614,0.0
TAZ,683,1086.0,1086,0.0
TAZ,684,38.0,38,0.0
TAZ,685,120.0,120,0.0
TAZ,686,280.0,280,0.0
TAZ,687,155.0,155,0.0
TAZ,688,20.0,20,0.0
TAZ,689,20.0,20,0.0
TAZ,690,261.0,261,0.0
TAZ,691,12.0,12,0.0
TAZ,693,60.0,60,0.0
TAZ,694,1539.0,1539,0.0
TAZ,695,282.0,282,0.0
TAZ,696,4.0,4,0.0
TAZ,697,56.0,56,0.0
TAZ,698,994.0,994,0.0
TAZ,699,510.0,510,0.0
TAZ,700,27.0,27,0.0
TAZ,701,413.0,413,0.0
TAZ,702,687.0,687,0.0
TAZ,703,1463.0,1463,0.0
TAZ,704,728.0,728,0.0
TAZ,705,960.0,960,0.0
TAZ,706,864.0,864,0.0
TAZ,707,994.0,994,0.0
TAZ,708,614.0,614,0.0
TAZ,709,476.0,476,0.0
TAZ,710,694.0,694,0.0
TAZ,711,118.0,118,0.0
TAZ,712,80.0,160,80.0
TAZ,713,579.0,579,0.0
TAZ,714,342.0,342,0.0
TAZ,715,1281.0,1281,0.0
TAZ,716,27.0,27,0.0
TAZ,717,839.0,839,0.0
TAZ,718,1010.0,1010,0.0
TAZ,719,1160.0,1160,0.0
TAZ,720,1082.0,1082,0.0
TAZ,721,647.0,647,0.0
TAZ,722,1427.0,1427,0.0
TAZ,725,952.0,952,0.0
TAZ,726,330.0,330,0.0
TAZ,727,1252.0,1252,0.0
TAZ,728,424.0,424,0.0
TAZ,729,1207.0,1174,-33.0
TAZ,730,2342.0,2278,-64.0
TAZ,731,1518.0,1477,-41.0
TAZ,732,1222.0,1189,-33.0
TAZ,733,2085.0,2028,-57.0
TAZ,734,1123.0,1093,-30.0
TAZ,735,2131.0,2073,-58.0
TAZ,736,736.0,716,-20.0
TAZ,737,2170.0,2111,-59.0
TAZ,738,1466.0,1426,-40.0
TAZ,739,1037.0,1009,-28.0
TAZ,740,1020.0,993,-27.0
TAZ,741,1613.0,1569,-44.0
TAZ,742,855.0,832,-23.0
TAZ,743,536.0,522,-14.0
TAZ,744,874.0,851,-23.0
TAZ,745,765.0,1372,607.0
TAZ,746,1139.0,2041,902.0
TAZ,747,549.0,534,-15.0
TAZ,748,1358.0,1321,-37.0
TAZ,749,553.0,538,-15.0
TAZ,750,869.0,846,-23.0
TAZ,751,521.0,507,-14.0
TAZ,752,372.0,362,-10.0
TAZ,753,546.0,532,-14.0
TAZ,754,488.0,475,-13.0
TAZ,755,1912.0,1860,-52.0
TAZ,756,1851.0,3595,1744.0
TAZ,757,1240.0,1195,-45.0
TAZ,758,1007.0,971,-36.0
TAZ,759,2067.0,1992,-75.0
TAZ,760,716.0,690,-26.0
TAZ,761,1064.0,1026,-38.0
TAZ,762,533.0,514,-19.0
TAZ,763,1092.0,1053,-39.0
TAZ,764,1001.0,965,-36.0
TAZ,765,734.0,708,-26.0
TAZ,766,1578.0,1521,-57.0
TAZ,767,762.0,735,-27.0
TAZ,768,1404.0,1353,-51.0
TAZ,769,1132.0,1091,-41.0
TAZ,770,1259.0,1214,-45.0
TAZ,771,990.0,954,-36.0
TAZ,772,511.0,493,-18.0
TAZ,773,1112.0,1072,-40.0
TAZ,774,1289.0,1242,-47.0
TAZ,775,1052.0,1014,-38.0
TAZ,776,719.0,693,-26.0
TAZ,777,1558.0,1502,-56.0
TAZ,778,1034.0,997,-37.0
TAZ,779,1112.0,1072,-40.0
TAZ,780,1133.0,1092,-41.0
TAZ,781,1018.0,981,-37.0
TAZ,782,1176.0,1134,-42.0
TAZ,783,590.0,569,-21.0
TAZ,784,1437.0,1385,-52.0
TAZ,785,929.0,896,-33.0
TAZ,786,1197.0,1154,-43.0
TAZ,787,1536.0,1480,-56.0
TAZ,788,738.0,712,-26.0
TAZ,789,328.0,317,-11.0
TAZ,790,659.0,635,-24.0
TAZ,791,810.0,781,-29.0
TAZ,792,1494.0,1440,-54.0
TAZ,793,1277.0,1231,-46.0
TAZ,794,1511.0,1456,-55.0
TAZ,795,1419.0,1368,-51.0
TAZ,796,995.0,1809,814.0
TAZ,797,882.0,1603,721.0
TAZ,798,1106.0,1065,-41.0
TAZ,799,1062.0,1023,-39.0
TAZ,800,699.0,673,-26.0
TAZ,801,1128.0,1086,-42.0
TAZ,802,110.0,106,-4.0
TAZ,803,1022.0,984,-38.0
TAZ,804,594.0,572,-22.0
TAZ,805,1193.0,1149,-44.0
TAZ,806,411.0,396,-15.0
TAZ,807,484.0,466,-18.0
TAZ,808,277.0,267,-10.0
TAZ,809,12.0,12,0.0
TAZ,810,600.0,578,-22.0
TAZ,811,396.0,382,-14.0
TAZ,812,878.0,846,-32.0
TAZ,813,604.0,582,-22.0
TAZ,814,476.0,459,-17.0
TAZ,815,2240.0,2156,-84.0
TAZ,816,1610.0,1550,-60.0
TAZ,817,1578.0,1519,-59.0
