process_name,model_name,seconds,minutes
MainProcess,input_pre_processor,0.8,0.0
MainProcess,setup_data_structures,0.5,0.0
MainProcess,initial_seed_balancing,0.4,0.0
MainProcess,meta_control_factoring,0.0,0.0
MainProcess,final_seed_balancing,0.1,0.0
MainProcess,integerize_final_seed_weights,0.5,0.0
MainProcess,sub_balancing.geography=TAZ,18.2,0.3
MainProcess,expand_households,787.8,13.1
MainProcess,write_data_dictionary,0.9,0.0
MainProcess,summarize,3.2,0.1
MainProcess,write_tables,7.5,0.1
MainProcess,write_synthetic_population,32.8,0.5
