process,pid,rss,full_rss,uss,event,children,time
MainProcess,17152,115_175_424,115_175_424,84_537_344,pipeline.run before preload_injectables,0,2022/05/16 14:08:43.133348
MainProcess,17152,115_503_104,115_503_104,84_537_344,pipeline.run after preload_injectables,0,2022/05/16 14:08:43.153905
MainProcess,17152,115_527_680,115_527_680,84_537_344,pipeline.run_model input_pre_processor start,0,2022/05/16 14:08:43.170846
MainProcess,17152,159_911_936,159_911_936,128_978_944,pipeline.run_model input_pre_processor finished,0,2022/05/16 14:08:43.583079
MainProcess,17152,172_793_856,172_793_856,141_897_728,pipeline.run after input_pre_processor,0,2022/05/16 14:08:44.144553
MainProcess,17152,173_322_240,173_322_240,141_897_728,pipeline.run_model setup_data_structures start,0,2022/05/16 14:08:44.170279
MainProcess,17152,176_422_912,176_422_912,145_461_248,pipeline.run_model setup_data_structures finished,0,2022/05/16 14:08:48.975553
MainProcess,17152,178_044_928,178_044_928,146_345_984,pipeline.run after setup_data_structures,0,2022/05/16 14:08:49.275638
MainProcess,17152,178_311_168,178_311_168,146_366_464,pipeline.run_model initial_seed_balancing start,0,2022/05/16 14:08:49.297616
MainProcess,17152,180_445_184,180_445_184,148_434_944,pipeline.run_model initial_seed_balancing finished,0,2022/05/16 14:09:24.440728
MainProcess,17152,180_461_568,180_461_568,148_451_328,pipeline.run after initial_seed_balancing,0,2022/05/16 14:09:24.505612
MainProcess,17152,180_469_760,180_469_760,148_459_520,pipeline.run_model meta_control_factoring start,0,2022/05/16 14:09:24.545599
MainProcess,17152,180_469_760,180_469_760,148_459_520,pipeline.run_model meta_control_factoring finished,0,2022/05/16 14:09:24.569802
MainProcess,17152,180_469_760,180_469_760,148_459_520,pipeline.run after meta_control_factoring,0,2022/05/16 14:09:24.614571
MainProcess,17152,180_469_760,180_469_760,148_459_520,pipeline.run_model final_seed_balancing start,0,2022/05/16 14:09:24.630660
MainProcess,17152,180_477_952,180_477_952,148_467_712,pipeline.run_model final_seed_balancing finished,0,2022/05/16 14:09:24.668261
MainProcess,17152,179_433_472,179_433_472,147_423_232,pipeline.run after final_seed_balancing,0,2022/05/16 14:09:24.732224
MainProcess,17152,179_433_472,179_433_472,147_423_232,pipeline.run_model integerize_final_seed_weights start,0,2022/05/16 14:09:24.748858
MainProcess,17152,183_963_648,183_963_648,149_381_120,pipeline.run_model integerize_final_seed_weights finished,0,2022/05/16 14:09:26.992196
MainProcess,17152,182_894_592,182_894_592,148_586_496,pipeline.run after integerize_final_seed_weights,0,2022/05/16 14:09:27.056324
MainProcess,17152,183_169_024,183_169_024,148_586_496,pipeline.run_model sub_balancing.geography=TAZ start,0,2022/05/16 14:09:27.079474
MainProcess,17152,172_961_792,172_961_792,138_960_896,pipeline.run_model sub_balancing.geography=TAZ finished,0,2022/05/16 15:21:31.807943
MainProcess,17152,177_438_720,177_438_720,142_426_112,pipeline.run after sub_balancing.geography=TAZ,0,2022/05/16 15:21:32.370099
MainProcess,17152,177_561_600,177_561_600,142_544_896,pipeline.run_model expand_households start,0,2022/05/16 15:21:33.057687
MainProcess,17152,494_878_720,494_878_720,412_106_752,pipeline.run_model expand_households finished,0,2022/05/17 12:48:48.078443
MainProcess,17152,497_287_168,497_287_168,414_547_968,pipeline.run after expand_households,0,2022/05/17 12:48:48.478962
MainProcess,17152,497_319_936,497_319_936,414_547_968,pipeline.run_model write_data_dictionary start,0,2022/05/17 12:48:48.500880
MainProcess,17152,545_472_512,545_472_512,478_175_232,pipeline.run_model write_data_dictionary finished,0,2022/05/17 12:48:50.828948
MainProcess,17152,545_878_016,545_878_016,478_175_232,pipeline.run after write_data_dictionary,0,2022/05/17 12:48:50.889954
MainProcess,17152,545_878_016,545_878_016,478_175_232,pipeline.run_model summarize start,0,2022/05/17 12:48:50.924052
MainProcess,17152,348_188_672,348_188_672,297_250_816,pipeline.run_model summarize finished,0,2022/05/17 12:49:23.622485
MainProcess,17152,353_472_512,353_472_512,301_531_136,pipeline.run after summarize,0,2022/05/17 12:49:23.781735
MainProcess,17152,353_472_512,353_472_512,301_531_136,pipeline.run_model write_tables start,0,2022/05/17 12:49:23.814999
MainProcess,17152,355_409_920,355_409_920,303_468_544,pipeline.run_model write_tables finished,0,2022/05/17 12:49:32.416746
MainProcess,17152,355_409_920,355_409_920,303_468_544,pipeline.run after write_tables,0,2022/05/17 12:49:32.473148
MainProcess,17152,355_409_920,355_409_920,303_468_544,pipeline.run_model write_synthetic_population start,0,2022/05/17 12:49:32.532386
MainProcess,17152,358_699_008,358_699_008,306_749_440,pipeline.run_model write_synthetic_population finished,0,2022/05/17 12:49:54.409043
MainProcess,17152,358_699_008,358_699_008,306_749_440,pipeline.run after write_synthetic_population,0,2022/05/17 12:49:54.462633
MainProcess,17152,358_699_008,358_699_008,306_749_440,pipeline.run after run_models,0,2022/05/17 12:49:54.488240
