geography,id,HH_control,HHSize1_control,HHSize2_control,HHSize3_control,HHSize4p_control,Income1_control,Income2_control,Income3_control,Income4_control,HHWrk0_control,HHWrk1_control,HHWrk2_control,HHWrk3p_control,HH_Pop_control,HH_result,HHSize1_result,HHSize2_result,HHSize3_result,HHSize4p_result,Income1_result,Income2_result,Income3_result,Income4_result,HHWrk0_result,HHWrk1_result,HHWrk2_result,HHWrk3p_result,HH_Pop_result,HH_diff,HHSize1_diff,HHSize2_diff,HHSize3_diff,HHSize4p_diff,Income1_diff,Income2_diff,Income3_diff,Income4_diff,HHWrk0_diff,HHWrk1_diff,HHWrk2_diff,HHWrk3p_diff,HH_Pop_diff
PUMA,2500100,60052.0,23197.0,22478.0,7737.0,6640.0,24479.0,19632.0,10555.0,5386.0,23393.0,19467.0,14436.0,2756.0,124008.0,60052,23205,22471,7740,6636,24470,19637,10555,5390,23392,19469,14436,2755,124033,0.0,8.0,-7.0,3.0,-4.0,-9.0,5.0,0.0,4.0,-1.0,2.0,0.0,-1.0,25.0
PUMA,2500200,52841.0,18611.0,20992.0,6881.0,6357.0,19651.0,16342.0,9716.0,7132.0,18940.0,16379.0,14728.0,2794.0,109416.0,52841,18601,20987,6882,6371,19644,16344,9720,7133,18942,16378,14725,2796,109431,0.0,-10.0,-5.0,1.0,14.0,-7.0,2.0,4.0,1.0,2.0,-1.0,-3.0,2.0,15.0
PUMA,2500300,79304.0,28889.0,24466.0,11696.0,14253.0,35844.0,24843.0,11791.0,6826.0,28778.0,27589.0,18374.0,4563.0,183707.0,79304,28890,24466,11699,14249,35843,24843,11791,6827,28780,27582,18379,4563,183722,0.0,1.0,0.0,3.0,-4.0,-1.0,0.0,0.0,1.0,2.0,-7.0,5.0,0.0,15.0
PUMA,2500301,54179.0,18532.0,21457.0,7408.0,6782.0,22426.0,16645.0,10121.0,4987.0,20589.0,17751.0,13136.0,2703.0,117851.0,54179,18541,21456,7404,6778,22422,16648,10125,4984,20587,17753,13136,2703,117865,0.0,9.0,-1.0,-4.0,-4.0,-4.0,3.0,4.0,-3.0,-2.0,2.0,0.0,0.0,14.0
PUMA,2500302,58179.0,18723.0,20832.0,8209.0,10415.0,15939.0,18708.0,14033.0,9499.0,17521.0,17658.0,18497.0,4503.0,131152.0,58179,18725,20828,8209,10417,15932,18712,14040,9495,17519,17660,18496,4504,131158,0.0,2.0,-4.0,0.0,2.0,-7.0,4.0,7.0,-4.0,-2.0,2.0,-1.0,1.0,6.0
PUMA,2500303,58605.0,17637.0,21993.0,8550.0,10425.0,13315.0,16080.0,13356.0,15854.0,15151.0,20030.0,19383.0,4041.0,136345.0,58605,17641,21994,8548,10422,13309,16082,13355,15859,15150,20031,19383,4041,136373,0.0,4.0,1.0,-2.0,-3.0,-6.0,2.0,-1.0,5.0,-1.0,1.0,0.0,0.0,28.0
PUMA,2500304,78483.0,22828.0,31817.0,11107.0,12731.0,22477.0,24575.0,19011.0,12420.0,21585.0,26594.0,24206.0,6098.0,178511.0,78483,22823,31822,11103,12735,22469,24576,19016,12422,21584,26594,24207,6098,178499,0.0,-5.0,5.0,-4.0,4.0,-8.0,1.0,5.0,2.0,-1.0,0.0,1.0,0.0,-12.0
PUMA,2500400,48731.0,15037.0,19198.0,6974.0,7522.0,12380.0,14482.0,11591.0,10278.0,12883.0,16180.0,16792.0,2876.0,109183.0,48731,15039,19198,6976,7518,12372,14483,11595,10281,12883,16184,16789,2875,109161,0.0,2.0,0.0,2.0,-4.0,-8.0,1.0,4.0,3.0,0.0,4.0,-3.0,-1.0,-22.0
PUMA,2500501,51150.0,14314.0,20275.0,7785.0,8776.0,11306.0,12497.0,12341.0,15006.0,13741.0,15717.0,18049.0,3643.0,117677.0,51150,14313,20273,7784,8780,11301,12491,12340,15018,13738,15718,18050,3644,117703,0.0,-1.0,-2.0,-1.0,4.0,-5.0,-6.0,-1.0,12.0,-3.0,1.0,1.0,1.0,26.0
PUMA,2500502,42867.0,14200.0,14604.0,6518.0,7545.0,19009.0,12943.0,7344.0,3571.0,15847.0,13475.0,10725.0,2820.0,102964.0,42867,14201,14604,6517,7545,19004,12945,7346,3572,15847,13472,10728,2820,102971,0.0,1.0,0.0,-1.0,0.0,-5.0,2.0,2.0,1.0,0.0,-3.0,3.0,0.0,7.0
PUMA,2500503,63893.0,19706.0,22484.0,10363.0,11340.0,15625.0,15597.0,14458.0,18213.0,15007.0,23073.0,21929.0,3884.0,143057.0,63893,19712,22486,10368,11327,15606,15590,14455,18242,15004,23071,21929,3889,143099,0.0,6.0,2.0,5.0,-13.0,-19.0,-7.0,-3.0,29.0,-3.0,-2.0,0.0,5.0,42.0
PUMA,2500504,69151.0,22918.0,23180.0,11348.0,11705.0,20185.0,17567.0,14282.0,17117.0,15869.0,24628.0,22959.0,5695.0,161626.0,69151,22909,23184,11350,11708,20165,17572,14282,17132,15868,24627,22961,5695,161628,0.0,-9.0,4.0,2.0,3.0,-20.0,5.0,0.0,15.0,-1.0,-1.0,2.0,0.0,2.0
PUMA,2500505,63011.0,19762.0,22556.0,10726.0,9967.0,13332.0,15281.0,16962.0,17436.0,14103.0,22656.0,22580.0,3672.0,139103.0,63011,19770,22557,10724,9960,13310,15275,16964,17462,14104,22655,22580,3672,139119,0.0,8.0,1.0,-2.0,-7.0,-22.0,-6.0,2.0,26.0,1.0,-1.0,0.0,0.0,16.0
PUMA,2500506,60666.0,19593.0,27520.0,8036.0,5517.0,11576.0,15053.0,12476.0,21561.0,12058.0,23736.0,20967.0,3905.0,124054.0,60666,19577,27515,8049,5525,11571,15047,12478,21570,12053,23738,20963,3912,124059,0.0,-16.0,-5.0,13.0,8.0,-5.0,-6.0,2.0,9.0,-5.0,2.0,-4.0,7.0,5.0
PUMA,2500507,64816.0,19825.0,27622.0,8847.0,8522.0,16688.0,22188.0,17199.0,8741.0,13392.0,22171.0,22948.0,6305.0,140206.0,64816,19821,27620,8853,8522,16677,22185,17200,8754,13388,22169,22955,6304,140212,0.0,-4.0,-2.0,6.0,0.0,-11.0,-3.0,1.0,13.0,-4.0,-2.0,7.0,-1.0,6.0
PUMA,2500508,59149.0,19360.0,22274.0,9016.0,8499.0,17825.0,16828.0,16172.0,8324.0,14962.0,20992.0,18819.0,4376.0,141391.0,59149,19363,22274,9014,8498,17818,16829,16175,8327,14963,20993,18817,4376,141377,0.0,3.0,0.0,-2.0,-1.0,-7.0,1.0,3.0,3.0,1.0,1.0,-2.0,0.0,-14.0
PUMA,2500701,87531.0,26894.0,30911.0,13787.0,15939.0,34404.0,25864.0,17324.0,9939.0,29159.0,27876.0,23585.0,6911.0,215098.0,87531,26890,30912,13787,15942,34402,25870,17322,9937,29159,27876,23585,6911,215082,0.0,-4.0,1.0,0.0,3.0,-2.0,6.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-16.0
PUMA,2500702,48394.0,14472.0,16209.0,7632.0,10081.0,10069.0,11925.0,11451.0,14949.0,11934.0,15839.0,17087.0,3534.0,112514.0,48394,14474,16215,7630,10075,10060,11919,11449,14966,11935,15839,17086,3534,112515,0.0,2.0,6.0,-2.0,-6.0,-9.0,-6.0,-2.0,17.0,1.0,0.0,-1.0,0.0,1.0
PUMA,2500703,100702.0,39001.0,32630.0,14516.0,14555.0,35089.0,25211.0,20783.0,19619.0,30372.0,35403.0,29029.0,5898.0,220581.0,100702,38983,32628,14527,14564,35055,25214,20787,19646,30367,35408,29028,5899,220592,0.0,-18.0,-2.0,11.0,9.0,-34.0,3.0,4.0,27.0,-5.0,5.0,-1.0,1.0,11.0
PUMA,2500704,50740.0,18930.0,15110.0,7598.0,9102.0,21748.0,13571.0,9549.0,5872.0,16643.0,16341.0,13799.0,3957.0,117099.0,50740,18929,15112,7600,9099,21738,13574,9556,5872,16641,16345,13795,3959,117088,0.0,-1.0,2.0,2.0,-3.0,-10.0,3.0,7.0,0.0,-2.0,4.0,-4.0,2.0,-11.0
PUMA,2501000,62359.0,19388.0,21025.0,10237.0,11709.0,16360.0,15705.0,16434.0,13860.0,15911.0,20769.0,19920.0,5759.0,149457.0,62359,19383,21026,10242,11708,16339,15704,16438,13878,15912,20768,19920,5759,149477,0.0,-5.0,1.0,5.0,-1.0,-21.0,-1.0,4.0,18.0,1.0,-1.0,0.0,0.0,20.0
PUMA,2501300,53040.0,14535.0,19913.0,8413.0,10179.0,10060.0,13421.0,14564.0,14995.0,12478.0,17573.0,18261.0,4728.0,128141.0,53040,14542,19915,8414,10169,10051,13416,14563,15010,12477,17568,18267,4728,128140,0.0,7.0,2.0,1.0,-10.0,-9.0,-5.0,-1.0,15.0,-1.0,-5.0,6.0,0.0,-1.0
PUMA,2501400,54663.0,15197.0,17857.0,9390.0,12219.0,12315.0,10958.0,10914.0,20476.0,12562.0,19349.0,19016.0,3736.0,130734.0,54663,15196,17855,9400,12212,12296,10956,10913,20498,12561,19352,19015,3735,130758,0.0,-1.0,-2.0,10.0,-7.0,-19.0,-2.0,-1.0,22.0,-1.0,3.0,-1.0,-1.0,24.0
PUMA,2501600,68423.0,22557.0,26342.0,9379.0,10145.0,22156.0,21745.0,15078.0,9444.0,20413.0,22843.0,20111.0,5056.0,146189.0,68423,22560,26340,9382,10141,22144,21749,15082,9448,20415,22837,20113,5058,146206,0.0,3.0,-2.0,3.0,-4.0,-12.0,4.0,4.0,4.0,2.0,-6.0,2.0,2.0,17.0
PUMA,2501900,64999.0,20828.0,25733.0,9031.0,9407.0,34992.0,18564.0,8438.0,3005.0,27932.0,20465.0,12474.0,4128.0,159116.0,64999,20825,25737,9030,9407,34996,18559,8439,3005,27932,20465,12472,4130,159101,0.0,-3.0,4.0,-1.0,0.0,4.0,-5.0,1.0,0.0,0.0,0.0,-2.0,2.0,-15.0
PUMA,2501901,67689.0,24802.0,20859.0,9839.0,12189.0,26809.0,19809.0,13258.0,7813.0,22733.0,22013.0,18102.0,4841.0,149304.0,67689,24814,20857,9840,12178,26801,19817,13261,7810,22735,22017,18096,4841,149305,0.0,12.0,-2.0,1.0,-11.0,-8.0,8.0,3.0,-3.0,2.0,4.0,-6.0,0.0,1.0
PUMA,2501902,58565.0,19382.0,20829.0,8600.0,9754.0,18931.0,17960.0,12366.0,9308.0,19779.0,17142.0,16616.0,5028.0,129672.0,58565,19395,20830,8601,9739,18924,17962,12372,9307,19781,17139,16618,5027,129655,0.0,13.0,1.0,1.0,-15.0,-7.0,2.0,6.0,-1.0,2.0,-3.0,2.0,-1.0,-17.0
PUMA,2502400,53794.0,15250.0,16896.0,9445.0,12203.0,13068.0,12897.0,11534.0,16295.0,11415.0,18753.0,19610.0,4016.0,128508.0,53794,15250,16896,9456,12192,13051,12897,11536,16310,11410,18753,19613,4018,128544,0.0,0.0,0.0,11.0,-11.0,-17.0,0.0,2.0,15.0,-5.0,0.0,3.0,2.0,36.0
PUMA,2502800,70355.0,24481.0,23595.0,11101.0,11178.0,20598.0,18053.0,19141.0,12563.0,19126.0,24461.0,21323.0,5445.0,157747.0,70355,24478,23600,11098,11179,20575,18056,19143,12581,19124,24461,21325,5445,157748,0.0,-3.0,5.0,-3.0,1.0,-23.0,3.0,2.0,18.0,-2.0,0.0,2.0,0.0,1.0
PUMA,2503301,64180.0,25202.0,28356.0,5693.0,4929.0,26661.0,17870.0,10536.0,9113.0,21552.0,22355.0,16190.0,4083.0,122516.0,64180,25197,28356,5695,4932,26653,17872,10538,9117,21543,22361,16188,4088,122531,0.0,-5.0,0.0,2.0,3.0,-8.0,2.0,2.0,4.0,-9.0,6.0,-2.0,5.0,15.0
PUMA,2503302,108271.0,42516.0,44204.0,11883.0,9668.0,31589.0,23106.0,15883.0,37693.0,28699.0,37684.0,36053.0,5835.0,211325.0,108271,42507,44205,11893,9666,31566,23105,15889,37711,28686,37686,36057,5842,211342,0.0,-9.0,1.0,10.0,-2.0,-23.0,-1.0,6.0,18.0,-13.0,2.0,4.0,7.0,17.0
PUMA,2503303,67878.0,22999.0,26368.0,9884.0,8627.0,20768.0,21882.0,13388.0,11840.0,17089.0,25360.0,20581.0,4848.0,154947.0,67878,22992,26374,9886,8626,20763,21876,13384,11855,17080,25368,20583,4847,154921,0.0,-7.0,6.0,2.0,-1.0,-5.0,-6.0,-4.0,15.0,-9.0,8.0,2.0,-1.0,-26.0
PUMA,2503304,60619.0,20624.0,20023.0,10442.0,9530.0,27176.0,18057.0,9200.0,6186.0,20384.0,21357.0,13866.0,5012.0,144280.0,60619,20619,20029,10444,9527,27179,18059,9197,6184,20384,21356,13865,5014,144257,0.0,-5.0,6.0,2.0,-3.0,3.0,2.0,-3.0,-2.0,0.0,-1.0,-1.0,2.0,-23.0
PUMA,2503305,67402.0,21813.0,24945.0,10789.0,9855.0,18118.0,19640.0,15990.0,13654.0,15558.0,23265.0,23533.0,5046.0,145101.0,67402,21832,24951,10781,9838,18108,19637,15990,13667,15555,23262,23534,5051,145163,0.0,19.0,6.0,-8.0,-17.0,-10.0,-3.0,0.0,13.0,-3.0,-3.0,1.0,5.0,62.0
PUMA,2503306,48864.0,15351.0,17339.0,7476.0,8698.0,15615.0,16556.0,10562.0,6131.0,13162.0,17479.0,13792.0,4431.0,108535.0,48864,15366,17344,7475,8679,15615,16551,10568,6130,13158,17478,13791,4437,108583,0.0,15.0,5.0,-1.0,-19.0,0.0,-5.0,6.0,-1.0,-4.0,-1.0,-1.0,6.0,48.0
PUMA,2503400,69633.0,20218.0,25758.0,11919.0,11738.0,16115.0,13462.0,12153.0,27903.0,15586.0,23801.0,25926.0,4320.0,155183.0,69633,20261,25766,11912,11694,16099,13458,12152,27924,15587,23801,25925,4320,155343,0.0,43.0,8.0,-7.0,-44.0,-16.0,-4.0,-1.0,21.0,1.0,0.0,-1.0,0.0,160.0
PUMA,2503500,44886.0,10412.0,14424.0,8597.0,11453.0,7478.0,10001.0,9907.0,17500.0,12768.0,15340.0,13434.0,3344.0,112446.0,44886,10420,14431,8595,11440,7462,10002,9903,17519,12767,15339,13436,3344,112481,0.0,8.0,7.0,-2.0,-13.0,-16.0,1.0,-4.0,19.0,-1.0,-1.0,2.0,0.0,35.0
PUMA,2503601,56876.0,15175.0,18715.0,10345.0,12641.0,12339.0,14389.0,15160.0,14988.0,13251.0,19230.0,19657.0,4738.0,135450.0,56876,15193,18723,10347,12613,12325,14382,15158,15011,13253,19228,19654,4741,135531,0.0,18.0,8.0,2.0,-28.0,-14.0,-7.0,-2.0,23.0,2.0,-2.0,-3.0,3.0,81.0
PUMA,2503602,55903.0,18133.0,19066.0,8936.0,9768.0,15830.0,14717.0,15151.0,10205.0,15027.0,19492.0,17128.0,4256.0,129274.0,55903,18132,19066,8935,9770,15817,14718,15151,10217,15027,19492,17129,4255,129271,0.0,-1.0,0.0,-1.0,2.0,-13.0,1.0,0.0,12.0,0.0,0.0,1.0,-1.0,-3.0
PUMA,2503603,65172.0,25109.0,22156.0,8703.0,9204.0,20819.0,17355.0,16749.0,10249.0,18748.0,23612.0,18551.0,4261.0,137334.0,65172,25106,22158,8707,9201,20808,17354,16750,10260,18743,23611,18552,4266,137343,0.0,-3.0,2.0,4.0,-3.0,-11.0,-1.0,1.0,11.0,-5.0,-1.0,1.0,5.0,9.0
PUMA,2503900,66172.0,22282.0,22468.0,9851.0,11571.0,17940.0,18110.0,16105.0,14017.0,16657.0,24761.0,20663.0,4091.0,157050.0,66172,22274,22470,9849,11579,17925,18111,16102,14034,16654,24765,20662,4091,157048,0.0,-8.0,2.0,-2.0,8.0,-15.0,1.0,-3.0,17.0,-3.0,4.0,-1.0,0.0,-2.0
PUMA,2504000,49892.0,13768.0,18842.0,7331.0,9951.0,18228.0,15669.0,10289.0,5706.0,15358.0,15451.0,13585.0,5498.0,127589.0,49892,13772,18843,7331,9946,18221,15670,10295,5706,15360,15451,13584,5497,127606,0.0,4.0,1.0,0.0,-5.0,-7.0,1.0,6.0,0.0,2.0,0.0,-1.0,-1.0,17.0
PUMA,2504200,56659.0,14780.0,22518.0,9807.0,9554.0,14380.0,17826.0,13670.0,10783.0,12616.0,19083.0,20483.0,4477.0,129530.0,56659,14787,22517,9805,9550,14372,17827,13674,10786,12617,19082,20482,4478,129550,0.0,7.0,-1.0,-2.0,-4.0,-8.0,1.0,4.0,3.0,1.0,-1.0,-1.0,1.0,20.0
PUMA,2504301,48951.0,15372.0,19515.0,7473.0,6591.0,13581.0,14254.0,12580.0,8536.0,14048.0,14854.0,16416.0,3633.0,112098.0,48951,15378,19513,7470,6590,13572,14253,12583,8543,14050,14853,16415,3633,112087,0.0,6.0,-2.0,-3.0,-1.0,-9.0,-1.0,3.0,7.0,2.0,-1.0,-1.0,0.0,-11.0
PUMA,2504302,46149.0,16223.0,17765.0,7057.0,5104.0,24427.0,11876.0,7031.0,2815.0,20665.0,14038.0,9469.0,1977.0,98148.0,46149,16224,17765,7057,5103,24424,11883,7028,2814,20661,14038,9472,1978,98164,0.0,1.0,0.0,0.0,-1.0,-3.0,7.0,-3.0,-1.0,-4.0,0.0,3.0,1.0,16.0
PUMA,2504303,54746.0,14738.0,21226.0,9378.0,9404.0,15321.0,15616.0,14070.0,9739.0,12775.0,19043.0,18910.0,4018.0,129140.0,54746,14745,21224,9376,9401,15315,15616,14069,9746,12776,19043,18909,4018,129165,0.0,7.0,-2.0,-2.0,-3.0,-6.0,0.0,-1.0,7.0,1.0,0.0,-1.0,0.0,25.0
