process,pid,rss,full_rss,uss,event,children,time
MainProcess,11296,100_212_736,100_212_736,69_726_208,pipeline.run before preload_injectables,0,2022/06/01 14:44:47.418228
MainProcess,11296,100_610_048,100_610_048,69_726_208,pipeline.run after preload_injectables,0,2022/06/01 14:44:47.435100
MainProcess,11296,100_634_624,100_634_624,69_730_304,pipeline.run_model input_pre_processor start,0,2022/06/01 14:44:47.446804
MainProcess,11296,146_468_864,146_468_864,115_838_976,pipeline.run_model input_pre_processor finished,0,2022/06/01 14:44:47.847630
MainProcess,11296,160_890_880,160_890_880,130_203_648,pipeline.run after input_pre_processor,0,2022/06/01 14:44:48.327329
MainProcess,11296,161_558_528,161_558_528,130_224_128,pipeline.run_model setup_data_structures start,0,2022/06/01 14:44:48.376184
MainProcess,11296,164_032_512,164_032_512,133_136_384,pipeline.run_model setup_data_structures finished,0,2022/06/01 14:44:48.711796
MainProcess,11296,165_806_080,165_806_080,133_943_296,pipeline.run after setup_data_structures,0,2022/06/01 14:44:48.978088
MainProcess,11296,165_806_080,165_806_080,133_943_296,pipeline.run_model initial_seed_balancing start,0,2022/06/01 14:44:48.997100
MainProcess,11296,167_833_600,167_833_600,135_929_856,pipeline.run_model initial_seed_balancing finished,0,2022/06/01 14:45:11.816015
MainProcess,11296,167_833_600,167_833_600,135_929_856,pipeline.run after initial_seed_balancing,0,2022/06/01 14:45:11.850984
MainProcess,11296,167_833_600,167_833_600,135_929_856,pipeline.run_model meta_control_factoring start,0,2022/06/01 14:45:11.872009
MainProcess,11296,167_833_600,167_833_600,135_929_856,pipeline.run_model meta_control_factoring finished,0,2022/06/01 14:45:11.889391
MainProcess,11296,167_833_600,167_833_600,135_929_856,pipeline.run after meta_control_factoring,0,2022/06/01 14:45:11.916335
MainProcess,11296,167_833_600,167_833_600,135_929_856,pipeline.run_model final_seed_balancing start,0,2022/06/01 14:45:11.932799
MainProcess,11296,167_833_600,167_833_600,135_929_856,pipeline.run_model final_seed_balancing finished,0,2022/06/01 14:45:11.949840
MainProcess,11296,167_829_504,167_829_504,135_925_760,pipeline.run after final_seed_balancing,0,2022/06/01 14:45:11.985834
MainProcess,11296,167_829_504,167_829_504,135_925_760,pipeline.run_model integerize_final_seed_weights start,0,2022/06/01 14:45:12.002774
MainProcess,11296,171_040_768,171_040_768,137_506_816,pipeline.run_model integerize_final_seed_weights finished,0,2022/06/01 14:45:12.706651
MainProcess,11296,171_118_592,171_118_592,136_638_464,pipeline.run after integerize_final_seed_weights,0,2022/06/01 14:45:12.739270
MainProcess,11296,171_118_592,171_118_592,136_638_464,pipeline.run_model sub_balancing.geography=TAZ start,0,2022/06/01 14:45:12.763312
MainProcess,11296,223_064_064,223_064_064,189_276_160,pipeline.run_model sub_balancing.geography=TAZ finished,0,2022/06/01 15:14:35.075628
MainProcess,11296,224_354_304,224_354_304,189_620_224,pipeline.run after sub_balancing.geography=TAZ,0,2022/06/01 15:14:35.213180
MainProcess,11296,224_362_496,224_362_496,189_624_320,pipeline.run_model expand_households start,0,2022/06/01 15:14:35.234427
MainProcess,11296,335_867_904,335_867_904,303_067_136,pipeline.run_model expand_households finished,0,2022/06/01 15:16:05.689584
MainProcess,11296,336_805_888,336_805_888,303_030_272,pipeline.run after expand_households,0,2022/06/01 15:16:06.116350
MainProcess,11296,336_805_888,336_805_888,303_030_272,pipeline.run_model write_data_dictionary start,0,2022/06/01 15:16:06.139904
MainProcess,11296,349_073_408,349_073_408,315_146_240,pipeline.run_model write_data_dictionary finished,0,2022/06/01 15:16:07.098874
MainProcess,11296,349_077_504,349_077_504,315_150_336,pipeline.run after write_data_dictionary,0,2022/06/01 15:16:07.138554
MainProcess,11296,349_077_504,349_077_504,315_150_336,pipeline.run_model summarize start,0,2022/06/01 15:16:07.167457
MainProcess,11296,341_512_192,341_512_192,308_592_640,pipeline.run_model summarize finished,0,2022/06/01 15:16:21.880820
MainProcess,11296,346_591_232,346_591_232,312_692_736,pipeline.run after summarize,0,2022/06/01 15:16:21.972426
MainProcess,11296,346_619_904,346_619_904,312_692_736,pipeline.run_model write_tables start,0,2022/06/01 15:16:21.996039
MainProcess,11296,349_511_680,349_511_680,315_584_512,pipeline.run_model write_tables finished,0,2022/06/01 15:16:30.638913
MainProcess,11296,349_511_680,349_511_680,315_584_512,pipeline.run after write_tables,0,2022/06/01 15:16:30.689433
MainProcess,11296,349_511_680,349_511_680,315_584_512,pipeline.run_model write_synthetic_population start,0,2022/06/01 15:16:30.714430
MainProcess,11296,352_530_432,352_530_432,318_586_880,pipeline.run_model write_synthetic_population finished,0,2022/06/01 15:17:07.492761
MainProcess,11296,352_530_432,352_530_432,318_586_880,pipeline.run after write_synthetic_population,0,2022/06/01 15:17:07.529725
MainProcess,11296,352_530_432,352_530_432,318_586_880,pipeline.run after run_models,0,2022/06/01 15:17:07.569101
