process_name,model_name,seconds,minutes
MainProcess,input_pre_processor,1.0,0.0
MainProcess,setup_data_structures,0.8,0.0
MainProcess,initial_seed_balancing,26.9,0.4
MainProcess,meta_control_factoring,0.2,0.0
MainProcess,final_seed_balancing,0.3,0.0
MainProcess,integerize_final_seed_weights,1.3,0.0
MainProcess,sub_balancing.geography=TAZ,2623.4,43.7
MainProcess,expand_households,141.6,2.4
MainProcess,write_data_dictionary,1.8,0.0
MainProcess,summarize,21.0,0.3
MainProcess,write_tables,13.9,0.2
MainProcess,write_synthetic_population,58.5,1.0
