process_name,model_name,seconds,minutes
MainProcess,input_pre_processor,1.1,0.0
MainProcess,setup_data_structures,0.8,0.0
MainProcess,initial_seed_balancing,18.9,0.3
MainProcess,meta_control_factoring,0.3,0.0
MainProcess,final_seed_balancing,0.4,0.0
MainProcess,integerize_final_seed_weights,1.0,0.0
MainProcess,sub_balancing.geography=TAZ,2201.6,36.7
MainProcess,expand_households,95.8,1.6
MainProcess,write_data_dictionary,1.0,0.0
MainProcess,summarize,15.3,0.3
MainProcess,write_tables,9.1,0.2
MainProcess,write_synthetic_population,45.3,0.8
