OID_,id,GISMATCH,GEOID,STATEFIP,State_1,PUMA,Name,pumaArea,Shape_Length,Shape_Area,AreaMi
37,2654,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,14832.381619402933211,9365574.292924568057060,3.616068450956930
38,2655,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,19255.770669992256444,14329474.716148469597101,5.532641119402077
39,2655,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,8022.319456035554140,4014.189771649826071,0.001549887335834
40,1794,2503900,2503900,25,Massachusetts,03900,"Weymouth Town, Braintree Town Cities, Hingham, Hull & Cohasset Towns PUMA",68.416600543200005,4060.489720026545911,741903.566045894753188,0.286450568317819
41,4324,2504500,2504500,25,Massachusetts,04500,Bristol County (South)--New Bedford City & Fairhaven Town PUMA,32.628333549399997,1764.894944541313407,179329.780740728805540,0.069239615443921
42,2682,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,3100.528347611110803,808.705615818764272,0.000312242983934
43,2682,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,9513.828134231313015,4934397.178687093779445,1.905181402044002
44,2683,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,3920.735535534208339,64.869937473713435,0.000025046422886
45,2683,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,14881.543432535136162,7145688.375245079398155,2.758965706311709
46,2680,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,9276.052945874133002,2647500.770733048208058,1.022205762455430
47,2677,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,10758.624913675612333,3197664.988605445716530,1.234625354556336
48,1833,2503900,2503900,25,Massachusetts,03900,"Weymouth Town, Braintree Town Cities, Hingham, Hull & Cohasset Towns PUMA",68.416600543200005,4403.069272902233024,1164698.318330461159348,0.449692534816487
49,2707,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,1670.672009992839776,61.282460578912357,0.000023661290313
50,2707,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,9567.859103392207544,4563939.415618391707540,1.762146860055814
51,2649,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,12010.522518372812556,7536152.604890296235681,2.909724788230899
52,1830,2503900,2503900,25,Massachusetts,03900,"Weymouth Town, Braintree Town Cities, Hingham, Hull & Cohasset Towns PUMA",68.416600543200005,2869.789780157444056,328987.586793959606439,0.127022817411297
53,4295,2504500,2504500,25,Massachusetts,04500,Bristol County (South)--New Bedford City & Fairhaven Town PUMA,32.628333549399997,1369.781773402530916,111874.072643749765120,0.043194820938290
54,2671,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,10076.775473703341049,4926376.774715898558497,1.902084706757939
55,2653,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,15346.123179536967655,6626817.779008140787482,2.558628649074432
56,2656,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,14943.252244442550364,10266373.986111069098115,3.963869156955732
57,2656,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,1942.438559654775645,3933.458841840806599,0.001518716949570
58,2660,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,10551.178712435892521,5936.515082667825482,0.002292101287935
59,2660,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,16847.378638905269327,13981654.183272039517760,5.398346860855682
60,4158,2504302,2504302,25,Massachusetts,04302,Bristol County (Central)--Fall River City & Somerset Town PUMA,46.840855138700000,1954.603366523888099,158595.989381357445382,0.061234253844261
