geography,id,HH_control,HHSize1_control,HHSize2_control,HHSize3_control,HHSize4p_control,Income1_control,Income2_control,Income3_control,Income4_control,HHWrk0_control,HHWrk1_control,HHWrk2_control,HHWrk3p_control,Tot_Emp_control,Tot_Pop_control,HH_result,HHSize1_result,HHSize2_result,HHSize3_result,HHSize4p_result,Income1_result,Income2_result,Income3_result,Income4_result,HHWrk0_result,HHWrk1_result,HHWrk2_result,HHWrk3p_result,Tot_Emp_result,Tot_Pop_result,HH_diff,HHSize1_diff,HHSize2_diff,HHSize3_diff,HHSize4p_diff,Income1_diff,Income2_diff,Income3_diff,Income4_diff,HHWrk0_diff,HHWrk1_diff,HHWrk2_diff,HHWrk3p_diff,Tot_Emp_diff,Tot_Pop_diff
PUMA,2500100,63347.0,24337.0,23732.0,8175.0,7103.0,25371.0,20883.0,11322.0,5771.0,24354.0,20564.0,15486.0,2943.0,58709.0,137289.0,63347,24333,23734,8174,7106,25387,20878,11320,5762,32313,31034,0,0,31034,63347,0.0,-4.0,2.0,-1.0,3.0,16.0,-5.0,-2.0,-9.0,7959.0,10470.0,-15486.0,-2943.0,-27675.0,-73942.0
PUMA,2500200,53938.0,18862.0,21350.0,7122.0,6604.0,19879.0,16629.0,10109.0,7321.0,19117.0,16691.0,15170.0,2960.0,46356.0,129864.0,55596,19281,21764,7534,7017,20306,17031,10503,7756,28122,27474,0,0,27474,55596,1658.0,419.0,414.0,412.0,413.0,427.0,402.0,394.0,435.0,9005.0,10783.0,-15170.0,-2960.0,-18882.0,-74268.0
PUMA,2500300,79304.0,28889.0,24466.0,11696.0,14253.0,35844.0,24843.0,11791.0,6826.0,28778.0,27589.0,18374.0,4563.0,102769.0,196511.0,79304,28887,24468,11695,14254,35950,24782,11775,6797,36954,42350,0,0,42350,79304,0.0,-2.0,2.0,-1.0,1.0,106.0,-61.0,-16.0,-29.0,8176.0,14761.0,-18374.0,-4563.0,-60419.0,-117207.0
PUMA,2500301,55721.0,18970.0,22083.0,7617.0,7051.0,22672.0,17176.0,10636.0,5237.0,20952.0,18118.0,13846.0,2805.0,44288.0,125769.0,55721,18970,22083,7613,7055,22692,17166,10627,5236,28519,27202,0,0,27202,55721,0.0,0.0,0.0,-4.0,4.0,20.0,-10.0,-9.0,-1.0,7567.0,9084.0,-13846.0,-2805.0,-17086.0,-70048.0
PUMA,2500302,61650.0,19700.0,22291.0,8675.0,10984.0,16527.0,19876.0,14992.0,10255.0,18455.0,18642.0,19797.0,4756.0,40015.0,142461.0,62255,19811,22354,8798,11292,16661,20032,15155,10407,30279,31976,0,0,31976,62255,605.0,111.0,63.0,123.0,308.0,134.0,156.0,163.0,152.0,11824.0,13334.0,-19797.0,-4756.0,-8039.0,-80206.0
PUMA,2500303,58605.0,17637.0,21993.0,8550.0,10425.0,13315.0,16080.0,13356.0,15854.0,15151.0,20030.0,19383.0,4041.0,59475.0,138912.0,58605,17636,21993,8550,10426,13349,16071,13337,15848,23702,34903,0,0,34903,58605,0.0,-1.0,0.0,0.0,1.0,34.0,-9.0,-19.0,-6.0,8551.0,14873.0,-19383.0,-4041.0,-24572.0,-80307.0
PUMA,2500304,79829.0,23281.0,32230.0,11408.0,12910.0,23181.0,24728.0,19320.0,12600.0,21835.0,27164.0,24601.0,6229.0,47822.0,185308.0,81218,23603,32547,11758,13310,23537,25044,19664,12973,35997,45221,0,0,45221,81218,1389.0,322.0,317.0,350.0,400.0,356.0,316.0,344.0,373.0,14162.0,18057.0,-24601.0,-6229.0,-2601.0,-104090.0
PUMA,2500400,45148.0,14107.0,17632.0,6451.0,6958.0,11497.0,13305.0,10525.0,9821.0,11913.0,15307.0,15273.0,2655.0,29536.0,107550.0,46469,14454,17964,6759,7292,11838,13599,10855,10177,20111,26358,0,0,26358,46469,1321.0,347.0,332.0,308.0,334.0,341.0,294.0,330.0,356.0,8198.0,11051.0,-15273.0,-2655.0,-3178.0,-61081.0
PUMA,2500501,53573.0,15115.0,21012.0,8163.0,9283.0,11618.0,12979.0,12947.0,16029.0,14317.0,16537.0,18895.0,3824.0,56583.0,124027.0,53573,15113,21014,8160,9286,11723,12961,12908,15981,23184,30389,0,0,30389,53573,0.0,-2.0,2.0,-3.0,3.0,105.0,-18.0,-39.0,-48.0,8867.0,13852.0,-18895.0,-3824.0,-26194.0,-70454.0
PUMA,2500502,42867.0,14200.0,14604.0,6518.0,7545.0,19009.0,12943.0,7344.0,3571.0,15847.0,13475.0,10725.0,2820.0,36699.0,107232.0,42867,14198,14605,6518,7546,19040,12922,7333,3572,21957,20910,0,0,20910,42867,0.0,-2.0,1.0,0.0,1.0,31.0,-21.0,-11.0,1.0,6110.0,7435.0,-10725.0,-2820.0,-15789.0,-64365.0
PUMA,2500503,63893.0,19706.0,22484.0,10363.0,11340.0,15625.0,15597.0,14458.0,18213.0,15007.0,23073.0,21929.0,3884.0,138828.0,152519.0,63893,19704,22486,10363,11340,17647,14934,13838,17474,21417,42476,0,0,42476,63893,0.0,-2.0,2.0,0.0,0.0,2022.0,-663.0,-620.0,-739.0,6410.0,19403.0,-21929.0,-3884.0,-96352.0,-88626.0
PUMA,2500504,69151.0,22918.0,23180.0,11348.0,11705.0,20185.0,17567.0,14282.0,17117.0,15869.0,24628.0,22959.0,5695.0,106214.0,167919.0,69151,22917,23179,11346,11709,20227,17535,14278,17111,24292,44859,0,0,44859,69151,0.0,-1.0,-1.0,-2.0,4.0,42.0,-32.0,-4.0,-6.0,8423.0,20231.0,-22959.0,-5695.0,-61355.0,-98768.0
PUMA,2500505,63011.0,19762.0,22556.0,10726.0,9967.0,13332.0,15281.0,16962.0,17436.0,14103.0,22656.0,22580.0,3672.0,45078.0,140552.0,63011,19761,22557,10726,9967,13333,15262,16952,17464,23756,39255,0,0,39255,63011,0.0,-1.0,1.0,0.0,0.0,1.0,-19.0,-10.0,28.0,9653.0,16599.0,-22580.0,-3672.0,-5823.0,-77541.0
PUMA,2500506,61443.0,19954.0,27818.0,8097.0,5574.0,11849.0,15304.0,12620.0,21670.0,12313.0,24030.0,21172.0,3928.0,151423.0,145048.0,61443,19953,27814,8100,5576,11902,15285,12606,21650,17528,43915,0,0,43915,61443,0.0,-1.0,-4.0,3.0,2.0,53.0,-19.0,-14.0,-20.0,5215.0,19885.0,-21172.0,-3928.0,-107508.0,-83605.0
PUMA,2500507,64039.0,19464.0,27324.0,8786.0,8465.0,16415.0,21937.0,17055.0,8632.0,13137.0,21877.0,22743.0,6282.0,53393.0,141022.0,64770,19637,27479,8963,8691,16625,22093,17234,8818,23579,41191,0,0,41191,64770,731.0,173.0,155.0,177.0,226.0,210.0,156.0,179.0,186.0,10442.0,19314.0,-22743.0,-6282.0,-12202.0,-76252.0
PUMA,2500508,59149.0,19360.0,22274.0,9016.0,8499.0,17825.0,16828.0,16172.0,8324.0,14962.0,20992.0,18819.0,4376.0,38584.0,144197.0,59149,19359,22274,9017,8499,17844,16819,16155,8331,24307,34842,0,0,34842,59149,0.0,-1.0,0.0,1.0,0.0,19.0,-9.0,-17.0,7.0,9345.0,13850.0,-18819.0,-4376.0,-3742.0,-85048.0
PUMA,2500701,89762.0,27609.0,31695.0,14179.0,16279.0,34849.0,26269.0,18070.0,10574.0,29534.0,28703.0,24349.0,7176.0,77087.0,224295.0,89762,27607,31696,14180,16279,34924,26231,18051,10556,43228,46534,0,0,46534,89762,0.0,-2.0,1.0,1.0,0.0,75.0,-38.0,-19.0,-18.0,13694.0,17831.0,-24349.0,-7176.0,-30553.0,-134533.0
PUMA,2500702,50644.0,15230.0,16878.0,7989.0,10547.0,10491.0,12398.0,12130.0,15625.0,12430.0,16674.0,17834.0,3706.0,48276.0,122378.0,50644,15228,16879,7988,10549,10536,12380,12113,15615,20457,30187,0,0,30187,50644,0.0,-2.0,1.0,-1.0,2.0,45.0,-18.0,-17.0,-10.0,8027.0,13513.0,-17834.0,-3706.0,-18089.0,-71734.0
PUMA,2500703,101627.0,39669.0,32918.0,14565.0,14475.0,35849.0,25712.0,20574.0,19492.0,30914.0,35693.0,29068.0,5952.0,97781.0,229273.0,103121,40015,33288,14936,14882,36275,26060,20932,19854,45188,57933,0,0,57933,103121,1494.0,346.0,370.0,371.0,407.0,426.0,348.0,358.0,362.0,14274.0,22240.0,-29068.0,-5952.0,-39848.0,-126152.0
PUMA,2500704,48889.0,18119.0,14555.0,7362.0,8853.0,21050.0,13136.0,9227.0,5476.0,16043.0,15706.0,13290.0,3850.0,33546.0,114487.0,49663,18316,14744,7557,9046,21269,13310,9408,5676,24366,25297,0,0,25297,49663,774.0,197.0,189.0,195.0,193.0,219.0,174.0,181.0,200.0,8323.0,9591.0,-13290.0,-3850.0,-8249.0,-64824.0
PUMA,2501000,65035.0,20419.0,21792.0,10643.0,12181.0,17201.0,16390.0,16865.0,14579.0,16643.0,21687.0,20707.0,5998.0,74421.0,158412.0,65035,20417,21792,10644,12182,17275,16368,16828,14564,26155,38880,0,0,38880,65035,0.0,-2.0,0.0,1.0,1.0,74.0,-22.0,-37.0,-15.0,9512.0,17193.0,-20707.0,-5998.0,-35541.0,-93377.0
PUMA,2501300,51710.0,14125.0,19499.0,8212.0,9874.0,9907.0,13162.0,14379.0,14262.0,12117.0,17162.0,17784.0,4647.0,90109.0,129599.0,52726,14373,19749,8471,10133,10215,13393,14587,14531,19221,33505,0,0,33505,52726,1016.0,248.0,250.0,259.0,259.0,308.0,231.0,208.0,269.0,7104.0,16343.0,-17784.0,-4647.0,-56604.0,-76873.0
PUMA,2501400,55398.0,15270.0,18157.0,9575.0,12396.0,12315.0,11223.0,10921.0,20939.0,12694.0,19666.0,19287.0,3751.0,60226.0,135995.0,55398,15268,18160,9573,12397,12378,11204,10901,20915,20296,35102,0,0,35102,55398,0.0,-2.0,3.0,-2.0,1.0,63.0,-19.0,-20.0,-24.0,7602.0,15436.0,-19287.0,-3751.0,-25124.0,-80597.0
PUMA,2501600,66427.0,21801.0,25695.0,9083.0,9848.0,21282.0,21175.0,14508.0,9462.0,20120.0,21877.0,19418.0,5012.0,46119.0,148299.0,68221,22256,26147,9518,10300,21747,21589,14939,9946,31851,36370,0,0,36370,68221,1794.0,455.0,452.0,435.0,452.0,465.0,414.0,431.0,484.0,11731.0,14493.0,-19418.0,-5012.0,-9749.0,-80078.0
PUMA,2501900,65683.0,21029.0,26032.0,9130.0,9492.0,35197.0,18821.0,8588.0,3077.0,28200.0,20710.0,12621.0,4152.0,87909.0,166439.0,65683,21030,26031,9130,9492,35269,18786,8566,3062,34485,31198,0,0,31198,65683,0.0,1.0,-1.0,0.0,0.0,72.0,-35.0,-22.0,-15.0,6285.0,10488.0,-12621.0,-4152.0,-56711.0,-100756.0
PUMA,2501901,67689.0,24802.0,20859.0,9839.0,12189.0,26809.0,19809.0,13258.0,7813.0,22733.0,22013.0,18102.0,4841.0,66782.0,155414.0,68403,24920,20965,10020,12498,27004,19986,13436,7977,32617,35786,0,0,35786,68403,714.0,118.0,106.0,181.0,309.0,195.0,177.0,178.0,164.0,9884.0,13773.0,-18102.0,-4841.0,-30996.0,-87011.0
PUMA,2501902,55372.0,18444.0,19586.0,8137.0,9205.0,18426.0,16781.0,11715.0,8450.0,18645.0,16336.0,15724.0,4667.0,37540.0,126586.0,56826,18817,19939,8502,9568,18801,17118,12060,8847,29313,27513,0,0,27513,56826,1454.0,373.0,353.0,365.0,363.0,375.0,337.0,345.0,397.0,10668.0,11177.0,-15724.0,-4667.0,-10027.0,-69760.0
PUMA,2502400,53794.0,15250.0,16896.0,9445.0,12203.0,13068.0,12897.0,11534.0,16295.0,11415.0,18753.0,19610.0,4016.0,60891.0,129958.0,53794,15249,16899,9444,12202,13163,12855,11500,16276,18938,34856,0,0,34856,53794,0.0,-1.0,3.0,-1.0,-1.0,95.0,-42.0,-34.0,-19.0,7523.0,16103.0,-19610.0,-4016.0,-26035.0,-76164.0
