process,pid,rss,full_rss,uss,event,children,time
MainProcess,6172,100_233_216,100_233_216,69_709_824,pipeline.run before preload_injectables,0,2022/05/18 15:32:31.470707
MainProcess,6172,100_573_184,100_573_184,69_713_920,pipeline.run after preload_injectables,0,2022/05/18 15:32:31.486736
MainProcess,6172,100_597_760,100_597_760,69_718_016,pipeline.run_model input_pre_processor start,0,2022/05/18 15:32:31.500689
MainProcess,6172,163_241_984,163_241_984,132_964_352,pipeline.run_model input_pre_processor finished,0,2022/05/18 15:32:31.969255
MainProcess,6172,177_504_256,177_504_256,146_714_624,pipeline.run after input_pre_processor,0,2022/05/18 15:32:32.421141
MainProcess,6172,178_049_024,178_049_024,146_735_104,pipeline.run_model setup_data_structures start,0,2022/05/18 15:32:32.452164
MainProcess,6172,186_310_656,186_310_656,154_480_640,pipeline.run_model setup_data_structures finished,0,2022/05/18 15:32:33.075924
MainProcess,6172,186_515_456,186_515_456,154_800_128,pipeline.run after setup_data_structures,0,2022/05/18 15:32:33.392551
MainProcess,6172,186_646_528,186_646_528,154_800_128,pipeline.run_model initial_seed_balancing start,0,2022/05/18 15:32:33.411866
MainProcess,6172,187_088_896,187_088_896,155_512_832,pipeline.run_model initial_seed_balancing finished,0,2022/05/18 15:32:57.455386
MainProcess,6172,187_400_192,187_400_192,155_512_832,pipeline.run after initial_seed_balancing,0,2022/05/18 15:32:57.494895
MainProcess,6172,187_400_192,187_400_192,155_512_832,pipeline.run_model meta_control_factoring start,0,2022/05/18 15:32:57.523287
MainProcess,6172,187_400_192,187_400_192,155_512_832,pipeline.run_model meta_control_factoring finished,0,2022/05/18 15:32:57.544232
MainProcess,6172,187_400_192,187_400_192,155_512_832,pipeline.run after meta_control_factoring,0,2022/05/18 15:32:57.561063
MainProcess,6172,187_400_192,187_400_192,155_512_832,pipeline.run_model final_seed_balancing start,0,2022/05/18 15:32:57.594837
MainProcess,6172,187_400_192,187_400_192,155_512_832,pipeline.run_model final_seed_balancing finished,0,2022/05/18 15:32:57.612351
MainProcess,6172,187_432_960,187_432_960,155_545_600,pipeline.run after final_seed_balancing,0,2022/05/18 15:32:57.648733
MainProcess,6172,187_432_960,187_432_960,155_545_600,pipeline.run_model integerize_final_seed_weights start,0,2022/05/18 15:32:57.668554
MainProcess,6172,192_487_424,192_487_424,158_068_736,pipeline.run_model integerize_final_seed_weights finished,0,2022/05/18 15:32:58.215864
MainProcess,6172,190_660_608,190_660_608,156_717_056,pipeline.run after integerize_final_seed_weights,0,2022/05/18 15:32:58.253815
MainProcess,6172,191_188_992,191_188_992,156_717_056,pipeline.run_model sub_balancing.geography=TAZ start,0,2022/05/18 15:32:58.283752
MainProcess,6172,219_537_408,219_537_408,165_703_680,pipeline.run_model sub_balancing.geography=TAZ finished,0,2022/05/18 16:07:54.049952
MainProcess,6172,222_654_464,222_654_464,168_214_528,pipeline.run after sub_balancing.geography=TAZ,0,2022/05/18 16:07:54.177079
MainProcess,6172,222_658_560,222_658_560,168_214_528,pipeline.run_model expand_households start,0,2022/05/18 16:07:54.210611
MainProcess,6172,291_770_368,291_770_368,239_894_528,pipeline.run_model expand_households finished,0,2022/05/18 16:10:12.862708
MainProcess,6172,292_855_808,292_855_808,239_976_448,pipeline.run after expand_households,0,2022/05/18 16:10:13.276849
MainProcess,6172,292_855_808,292_855_808,239_976_448,pipeline.run_model write_data_dictionary start,0,2022/05/18 16:10:13.293611
MainProcess,6172,326_168_576,326_168_576,274_083_840,pipeline.run_model write_data_dictionary finished,0,2022/05/18 16:10:14.321188
MainProcess,6172,327_122_944,327_122_944,274_087_936,pipeline.run after write_data_dictionary,0,2022/05/18 16:10:14.362560
MainProcess,6172,327_122_944,327_122_944,274_087_936,pipeline.run_model summarize start,0,2022/05/18 16:10:14.379729
MainProcess,6172,327_352_320,327_352_320,275_320_832,pipeline.run_model summarize finished,0,2022/05/18 16:10:28.094100
MainProcess,6172,332_464_128,332_464_128,279_564_288,pipeline.run after summarize,0,2022/05/18 16:10:28.211977
MainProcess,6172,332_603_392,332_603_392,279_568_384,pipeline.run_model write_tables start,0,2022/05/18 16:10:28.243997
MainProcess,6172,333_881_344,333_881_344,280_846_336,pipeline.run_model write_tables finished,0,2022/05/18 16:10:36.885722
MainProcess,6172,333_881_344,333_881_344,280_846_336,pipeline.run after write_tables,0,2022/05/18 16:10:36.922415
MainProcess,6172,333_881_344,333_881_344,280_846_336,pipeline.run_model write_synthetic_population start,0,2022/05/18 16:10:36.948834
MainProcess,6172,335_896_576,335_896_576,282_861_568,pipeline.run_model write_synthetic_population finished,0,2022/05/18 16:10:59.254297
MainProcess,6172,335_896_576,335_896_576,282_861_568,pipeline.run after write_synthetic_population,0,2022/05/18 16:10:59.294670
MainProcess,6172,335_896_576,335_896_576,282_861_568,pipeline.run after run_models,0,2022/05/18 16:10:59.318097
