process_name,model_name,seconds,minutes
MainProcess,input_pre_processor,0.9,0.0
MainProcess,setup_data_structures,1.0,0.0
MainProcess,initial_seed_balancing,24.1,0.4
MainProcess,meta_control_factoring,0.1,0.0
MainProcess,final_seed_balancing,0.1,0.0
MainProcess,integerize_final_seed_weights,0.6,0.0
MainProcess,sub_balancing.geography=TAZ,2095.9,34.9
MainProcess,expand_households,139.1,2.3
MainProcess,write_data_dictionary,1.1,0.0
MainProcess,summarize,13.8,0.2
MainProcess,write_tables,8.7,0.1
MainProcess,write_synthetic_population,22.4,0.4
