process_name,model_name,seconds,minutes
MainProcess,input_pre_processor,0.8,0.0
MainProcess,setup_data_structures,0.7,0.0
MainProcess,initial_seed_balancing,19.9,0.3
MainProcess,meta_control_factoring,0.1,0.0
MainProcess,final_seed_balancing,0.1,0.0
MainProcess,integerize_final_seed_weights,0.8,0.0
MainProcess,sub_balancing.geography=TAZ,1847.4,30.8
MainProcess,expand_households,80.6,1.3
MainProcess,write_data_dictionary,0.9,0.0
MainProcess,summarize,15.4,0.3
MainProcess,write_tables,8.7,0.1
MainProcess,write_synthetic_population,24.4,0.4
